trialCount,testCommand,testCommandMM,meanForce,stdevForce,meanPos,stdevPos,meanForce1,stdevForce1,meanPos1,stdevPos1,n
38,104.0,12.39,7.215714285714284,0.02060315014550853,10.155000000000003,0.0140152977645344,-0.7,0.0,0.015714285714285712,0.008206518066482898,18
39,104.0,12.39,7.209999999999997,2.6645352591003757e-15,10.198666666666666,0.022171052197754323,-0.6999999999999998,1.1102230246251565e-16,0.018666666666666665,0.004988876515698589,19
40,101.0,11.74,6.305999999999999,0.051613951602255674,9.432666666666668,0.028627880738111577,-0.6773333333333332,0.06647973793236217,0.01933333333333333,0.010624918300339485,19
41,101.0,11.74,6.305999999999999,0.07683749084919406,9.366000000000001,0.010832051206181048,-0.6886666666666665,0.04240545038343797,0.015999999999999997,0.008,19
42,106.0,12.83,7.296000000000003,0.02244994432064361,10.360000000000003,0.04305035810923454,-0.6373333333333332,0.09677924479051393,0.020666666666666667,0.009285592184789412,19
43,106.0,12.83,7.512,0.09217374897442342,10.592666666666664,0.022647050335283993,-0.6833333333333332,0.04555826550205302,0.018666666666666665,0.0049888765156985895,19
44,103.0,12.17,6.793333333333334,0.08866917289691087,10.030666666666665,0.021437246921084247,-0.6839999999999998,0.03199999999999999,0.01733333333333333,0.00679869268479038,19
45,103.0,12.17,6.750000000000001,0.08289408043659455,9.73857142857143,0.04120630029101705,-0.6514285714285714,0.09062143729802116,0.01714285714285714,0.006998542122237651,18
46,100.0,11.52,6.246000000000001,0.07683749084919406,9.353333333333333,0.02772884579078037,-0.6719999999999999,0.06764613810115104,0.018666666666666665,0.0049888765156985895,19
47,100.0,11.52,5.907333333333333,0.046542692468552214,9.174,0.028705400188814567,-0.5393333333333334,0.11410326706784321,0.013333333333333332,0.009428090415820633,19
48,97.0,10.87,5.491333333333334,0.07126164622166828,8.716666666666667,0.03438345855527374,-0.562,0.1218851918815407,0.018666666666666665,0.0049888765156985895,19
49,97.0,10.87,5.366428571428572,0.023178543913697038,8.646428571428572,0.020565971498411394,-0.452857142857143,0.04635708782739414,0.015714285714285712,0.008206518066482898,18
50,94.0,10.22,4.9319999999999995,0.07959899496852947,8.142000000000003,0.03969886648255847,-0.49333333333333346,0.0773448267321236,0.022000000000000006,0.0074833147735478825,19
