,time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
2853,1150898.0,180.0,67.0,793.0,269.0,65.0,841.0,267.0,23.0
2824,1146477.0,180.0,67.0,793.0,270.0,65.0,842.0,267.0,23.0
2825,1146630.0,180.0,67.0,792.0,270.0,65.0,841.0,266.0,23.0
2826,1146782.0,180.0,67.0,793.0,270.0,65.0,841.0,266.0,23.0
2827,1146935.0,180.0,67.0,792.0,270.0,65.0,840.0,266.0,23.0
2828,1147087.0,180.0,67.0,792.0,270.0,65.0,842.0,268.0,23.0
2829,1147240.0,180.0,67.0,792.0,270.0,65.0,842.0,268.0,23.0
2830,1147392.0,180.0,67.0,793.0,270.0,65.0,842.0,266.0,23.0
2831,1147545.0,180.0,67.0,792.0,271.0,65.0,842.0,266.0,23.0
2832,1147697.0,180.0,67.0,793.0,271.0,65.0,841.0,268.0,23.0
2833,1147849.0,180.0,67.0,792.0,271.0,65.0,841.0,267.0,23.0
2834,1148002.0,180.0,67.0,792.0,270.0,65.0,841.0,266.0,23.0
2835,1148154.0,180.0,67.0,792.0,270.0,65.0,842.0,266.0,23.0
2836,1148307.0,180.0,67.0,792.0,270.0,65.0,841.0,268.0,23.0
2837,1148459.0,180.0,67.0,792.0,270.0,65.0,842.0,268.0,23.0
2838,1148612.0,180.0,67.0,792.0,270.0,65.0,841.0,266.0,23.0
2839,1148764.0,180.0,67.0,792.0,270.0,65.0,841.0,268.0,23.0
2840,1148917.0,180.0,67.0,792.0,270.0,65.0,842.0,266.0,23.0
2841,1149069.0,180.0,67.0,792.0,269.0,65.0,842.0,266.0,23.0
2842,1149221.0,180.0,67.0,792.0,269.0,65.0,841.0,266.0,23.0
2843,1149374.0,180.0,67.0,792.0,269.0,65.0,841.0,267.0,23.0
2844,1149526.0,180.0,67.0,793.0,269.0,65.0,841.0,266.0,23.0
2845,1149679.0,180.0,67.0,792.0,269.0,65.0,841.0,268.0,23.0
2846,1149831.0,180.0,67.0,792.0,269.0,65.0,842.0,267.0,23.0
2847,1149984.0,180.0,67.0,792.0,267.0,65.0,842.0,267.0,23.0
2848,1150136.0,180.0,67.0,792.0,268.0,65.0,842.0,267.0,23.0
2849,1150288.0,180.0,67.0,792.0,269.0,65.0,842.0,267.0,23.0
2850,1150441.0,180.0,67.0,792.0,269.0,65.0,842.0,268.0,23.0
2851,1150593.0,180.0,67.0,792.0,269.0,65.0,842.0,268.0,23.0
2852,1150746.0,180.0,67.0,792.0,269.0,65.0,841.0,268.0,23.0
2925,1169874.0,180.0,67.0,800.0,270.0,65.0,844.0,269.0,24.0
3051,1201082.0,180.0,67.0,603.0,306.0,65.0,627.0,326.0,26.0
2926,1170026.0,180.0,67.0,795.0,270.0,65.0,844.0,269.0,24.0
2928,1170331.0,180.0,67.0,795.0,270.0,65.0,845.0,266.0,24.0
3002,1189612.0,180.0,67.0,791.0,270.0,65.0,836.0,269.0,25.0
3003,1189765.0,180.0,67.0,792.0,271.0,65.0,836.0,269.0,25.0
3004,1189917.0,180.0,67.0,790.0,270.0,65.0,836.0,269.0,25.0
3005,1190070.0,180.0,67.0,791.0,270.0,65.0,836.0,269.0,25.0
3006,1190222.0,180.0,67.0,790.0,270.0,65.0,836.0,269.0,25.0
3007,1190375.0,180.0,67.0,790.0,270.0,65.0,836.0,269.0,25.0
3008,1190527.0,180.0,67.0,791.0,270.0,65.0,835.0,269.0,25.0
3009,1190679.0,180.0,67.0,791.0,270.0,65.0,836.0,269.0,25.0
3010,1190832.0,180.0,67.0,791.0,270.0,65.0,836.0,269.0,25.0
3011,1190984.0,180.0,67.0,790.0,270.0,65.0,836.0,269.0,25.0
3012,1191137.0,180.0,67.0,790.0,270.0,65.0,836.0,269.0,25.0
3013,1191289.0,180.0,67.0,790.0,270.0,65.0,836.0,268.0,25.0
3014,1191442.0,180.0,67.0,790.0,270.0,65.0,836.0,268.0,25.0
3001,1189460.0,180.0,67.0,790.0,270.0,65.0,837.0,269.0,25.0
3015,1191594.0,180.0,67.0,790.0,270.0,65.0,836.0,268.0,25.0
3017,1191899.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
3018,1192051.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
3019,1192204.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
3020,1192356.0,180.0,67.0,790.0,268.0,65.0,836.0,268.0,25.0
3021,1192509.0,180.0,67.0,790.0,271.0,65.0,836.0,268.0,25.0
3022,1192661.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
3023,1192814.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
