time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
456083,180.00,65,845,261,0,989,249,0
456235,180.00,65,845,261,0,989,248,0
456388,180.00,65,845,261,0,989,248,0
456540,180.00,65,845,263,0,989,250,0
456693,180.00,65,846,261,0,989,248,0
456845,180.00,65,845,261,0,989,248,0
456998,180.00,65,845,261,0,989,249,0
457151,180.00,65,845,263,0,989,249,0
457303,180.00,65,846,261,0,989,250,0
457456,180.00,65,845,261,0,989,248,0
457608,180.00,65,845,261,0,989,248,0
457761,180.00,65,845,262,0,989,248,0
457913,180.00,65,845,261,0,989,248,0
458066,180.00,65,846,261,0,989,248,0
458218,180.00,65,845,260,0,989,248,0
458371,180.00,65,846,263,0,989,248,0
458523,180.00,65,845,263,0,989,248,0
458676,180.00,65,846,263,0,989,248,0
458828,180.00,65,845,263,0,989,249,0
458981,180.00,65,845,263,0,990,248,0
459133,180.00,65,845,261,0,989,248,0
459286,180.00,65,845,263,0,989,248,0
459438,180.00,65,845,263,0,989,248,0
459591,180.00,65,847,262,0,989,250,0
459743,180.00,65,845,261,0,989,248,0
459896,180.00,65,846,261,0,989,248,0
460049,180.00,65,845,261,0,989,248,0
460201,180.00,65,846,261,0,989,248,0
460354,180.00,65,845,261,0,989,248,0
460506,180.00,65,846,261,0,989,248,0
460659,180.00,65,845,261,0,989,250,0
460811,180.00,65,845,261,0,989,248,0
460964,180.00,65,846,261,0,989,248,0
461116,180.00,65,845,261,0,989,248,0
461269,180.00,65,845,263,0,989,248,0
461421,180.00,65,846,261,0,989,248,0
461574,180.00,65,845,261,0,989,248,0
461726,180.00,65,845,261,0,989,248,0
461879,180.00,65,845,262,0,989,248,0
462031,180.00,65,845,263,0,989,248,0
462184,180.00,65,845,261,0,989,248,0
462336,180.00,65,845,261,0,989,248,0
462489,180.00,65,846,262,0,988,248,0
462641,180.00,65,845,263,0,989,248,0
462794,180.00,65,845,263,0,989,248,0
462946,180.00,65,845,263,0,989,248,0
463099,180.00,65,845,261,0,989,248,0
463252,180.00,65,845,262,0,989,248,0
463404,180.00,65,845,261,0,989,248,0
463557,180.00,65,845,263,0,988,250,0
463709,180.00,65,845,261,0,989,248,0
463862,180.00,65,846,261,0,989,248,0
464014,180.00,65,845,261,0,989,248,0
464167,180.00,65,846,261,0,989,248,0
464319,180.00,65,845,261,0,989,248,0
464472,180.00,65,845,261,0,988,248,0
464624,180.00,65,845,261,0,989,248,0
464777,180.00,65,845,261,0,989,248,0
464929,180.00,65,846,261,0,989,248,0
465082,180.00,65,845,261,0,989,248,0
465234,180.00,65,845,261,0,989,247,0
465387,180.00,65,845,261,0,989,247,0
465539,180.00,65,845,261,0,989,247,0
465692,180.00,65,846,262,0,988,247,0
465844,180.00,65,846,262,0,989,247,0
465997,180.00,65,845,262,0,989,247,0
466149,180.00,65,845,261,0,989,247,0
466302,180.00,65,845,261,0,989,247,0
466454,180.00,65,845,261,0,989,247,0
466607,180.00,65,846,261,0,989,247,0
466759,180.00,65,845,262,0,989,247,0
466912,180.00,65,845,261,0,989,247,0
467064,180.00,65,844,261,0,989,247,0
467217,180.00,65,845,262,0,989,247,0
467370,180.00,65,845,263,0,989,247,0
467522,180.00,65,845,263,0,989,247,0
467675,180.00,65,845,263,0,989,247,0
467827,180.00,65,846,261,0,988,247,0
467980,180.00,65,845,261,0,989,247,0
468132,180.00,65,846,261,0,989,247,0
468285,180.00,65,845,261,0,989,247,0
468437,180.00,65,846,261,0,989,247,0
468590,180.00,65,845,261,0,989,247,0
468742,180.00,65,845,261,0,989,247,0
468895,180.00,65,845,263,0,989,247,0
469047,180.00,65,845,261,0,989,247,0
469200,180.00,65,846,262,0,989,247,0
469352,180.00,65,845,261,0,989,247,0
469505,180.00,65,845,263,0,989,247,0
469657,180.00,65,845,263,0,989,247,0
469810,180.00,65,845,261,0,989,247,0
469962,180.00,65,845,261,0,989,247,0
470115,180.00,65,846,263,0,989,247,0
470267,180.00,65,846,262,0,989,247,0
470420,180.00,65,845,261,0,989,247,0
470572,180.00,65,846,261,0,989,247,0
470725,180.00,65,845,263,0,989,247,0
470877,180.00,65,845,261,0,989,244,0
471030,180.00,65,845,263,0,989,247,0
471182,180.00,65,845,261,0,989,247,0
471335,180.00,65,845,261,0,989,247,0
471487,180.00,65,845,262,0,989,247,0
471640,180.00,65,845,263,0,989,247,0
471792,180.00,65,845,261,0,989,247,0
471945,180.00,65,845,263,0,989,247,0
472098,180.00,65,845,261,0,989,247,0
472250,180.00,65,845,261,0,989,247,0
472403,180.00,65,845,263,0,989,248,0
472555,180.00,65,845,261,0,989,248,0
472708,180.00,65,845,262,0,989,248,0
472860,180.00,65,846,261,0,988,248,0
473013,180.00,65,845,261,0,989,248,0
473165,180.00,65,845,262,0,988,248,0
473318,180.00,65,845,263,0,989,248,0
473470,180.00,65,845,263,0,989,248,0
473623,180.00,65,845,261,0,989,248,0
473775,180.00,65,845,262,0,989,248,0
473928,180.00,65,845,261,0,989,248,0
474080,180.00,65,845,261,0,989,248,0
474233,180.00,65,845,263,0,988,248,0
474385,180.00,65,845,262,0,989,248,0
474538,180.00,65,845,261,0,989,248,0
474690,180.00,65,845,262,0,989,247,0
474843,180.00,65,846,261,0,989,247,0
474995,180.00,65,845,262,0,989,247,0
475148,180.00,65,845,262,0,989,246,0
475300,180.00,65,846,261,0,989,246,0
475453,180.00,65,845,261,0,989,247,0
475605,180.00,65,846,262,0,989,247,0
475758,180.00,65,845,261,0,989,247,0
475910,180.00,65,845,261,0,989,247,0
476063,180.00,65,845,261,0,989,247,0
476216,180.00,65,845,261,0,989,247,0
476368,180.00,65,845,261,0,989,247,0
476521,180.00,65,845,261,0,989,247,0
476673,180.00,65,845,261,0,989,247,0
476826,180.00,65,845,261,0,989,247,0
476978,180.00,65,845,261,0,989,247,0
477131,180.00,65,845,261,0,989,247,0
477283,180.00,65,846,262,0,989,247,0
477436,180.00,65,845,262,0,989,247,0
477588,180.00,65,845,261,0,989,247,0
477741,180.00,65,845,261,0,989,247,0
477893,180.00,65,845,261,0,989,246,0
478046,180.00,65,845,263,0,989,246,0
478198,180.00,65,845,261,0,989,247,0
478351,180.00,65,846,261,0,988,245,0
