t1,t2,command,measured,position
81774446,81774446,59,309,917
81785137,81785138,59,309,916
81794807,81794807,59,309,918
81804475,81804476,59,309,919
81814144,81814144,59,309,918
81823809,81823810,59,309,917
81833976,81833977,59,309,917
81843642,81843643,59,309,918
81853309,81853309,59,309,916
81862977,81862978,59,309,917
81872645,81872646,59,309,918
81882318,81882318,59,309,917
81891986,81891986,59,309,918
81901658,81901658,59,309,915
81912102,81912102,59,309,915
81921773,81921773,59,309,915
81931445,81931446,59,309,911
81941122,81941122,59,310,911
81950791,81950792,59,311,910
81961521,81961521,59,311,909
81971194,81971194,59,313,906
81980871,81980871,59,313,905
81990541,81990541,59,314,905
82000218,82000219,59,314,905
82010299,82010300,59,314,905
82019973,82019973,59,314,905
82029637,82029637,59,314,906
82039312,82039312,59,314,905
82048982,82048982,59,314,906
82058654,82058655,59,314,904
82068324,82068324,59,314,906
82077997,82077998,59,314,906
82088357,82088358,59,314,905
82098023,82098024,59,314,906
82107691,82107692,59,314,905
82117366,82117366,59,314,906
82127036,82127036,59,314,905
82137387,82137388,59,313,906
82147058,82147058,59,312,904
82156732,82156732,59,312,906
82166400,82166401,59,313,906
82176077,82176077,59,314,906
82186767,82186768,59,314,905
82196444,82196444,59,313,904
82206120,82206121,59,313,903
82215794,82215795,59,312,907
82225508,82225509,59,312,904
82235521,82235521,59,312,906
82245192,82245193,59,312,905
82254863,82254864,59,312,905
82264530,82264530,59,312,905
82274203,82274203,59,312,904
82283870,82283871,59,312,906
82293536,82293537,59,312,904
82303206,82303207,59,312,905
82313593,82313594,59,312,905
82323261,82323261,59,312,904
82332929,82332929,59,312,905
82342596,82342597,59,312,901
82352266,82352267,59,312,905
82363010,82363010,59,312,906
82372676,82372677,59,312,904
82382352,82382352,59,312,905
82392025,82392026,59,312,904
82401738,82401739,59,313,905
82411737,82411738,59,313,905
82421411,82421412,59,314,906
82431082,82431083,59,314,905
82440757,82440757,59,314,906
82450426,82450426,59,314,908
82460100,82460101,59,314,905
82469769,82469769,59,314,906
82479442,82479442,59,314,904
82489870,82489871,59,314,905
82499541,82499542,59,314,904
82509210,82509210,59,314,905
82518876,82518877,59,314,905
82528543,82528543,59,314,905
82538905,82538905,59,314,905
82548568,82548568,59,314,906
82558241,82558241,59,314,906
82567909,82567910,59,314,904
82577582,82577582,59,314,906
82587905,82587906,59,314,908
82597575,82597576,59,314,906
82607244,82607245,59,314,907
82616916,82616917,59,313,907
82626584,82626584,59,314,905
82637306,82637307,59,314,907
82646974,82646974,59,314,906
82656645,82656646,59,314,906
82666313,82666313,59,314,906
82675983,82675983,59,313,905
82686178,82686179,59,313,907
82695848,82695849,59,312,907
82705514,82705515,59,312,906
82715182,82715183,59,312,906
82724848,82724848,59,312,905
82734516,82734516,59,312,905
82744186,82744187,59,312,907
82753852,82753852,59,312,905
82764355,82764356,59,312,905
82774024,82774025,59,312,906
82783693,82783694,59,312,906
82793366,82793366,59,312,905
82803039,82803040,59,312,905
82813754,82813755,59,312,904
82823426,82823427,59,312,903
82833094,82833095,59,312,905
82842763,82842764,59,312,907
82852435,82852435,59,313,905
82862497,82862497,59,313,905
82872168,82872169,59,312,907
82881842,82881842,59,312,905
82891511,82891511,59,313,905
82901185,82901185,59,314,905
82910852,82910852,59,314,906
82920520,82920521,59,314,905
82930192,82930192,59,314,906
82940629,82940629,59,313,905
82950299,82950299,59,314,906
82959970,82959971,59,314,905
82969640,82969640,59,314,905
82979315,82979316,59,314,907
82990059,82990060,59,314,906
82999732,82999732,59,313,904
83009403,83009404,59,313,906
83019079,83019079,59,312,905
83028747,83028748,59,312,906
83038749,83038749,59,312,905
83048418,83048419,59,312,906
83058091,83058091,59,312,905
83067760,83067760,59,312,905
83077435,83077436,59,312,906
83087107,83087108,59,312,905
83096779,83096779,59,312,906
83106447,83106447,59,312,905
83116793,83116794,59,312,907
83126460,83126461,59,312,906
83136135,83136135,59,312,906
