time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle','Bookmark'
2067.004,180.0,4.130434782608695,0.08611410118406937,-1.41,0,135,5.0
2067.457,180.0,4.130434782608695,0.04305705059203291,-1.32,0,135,5.0
2067.909,180.0,4.130434782608695,0.021528525296016454,-1.14,0,135,5.0
2068.361,180.0,4.130434782608695,0.08611410118406937,-1.05,0,135,5.0
2068.813,180.0,4.130434782608695,-0.08611410118406937,-1.14,0,135,5.0
2069.265,180.0,4.130434782608695,0.08611410118406937,-1.05,0,135,5.0
2069.718,180.0,4.130434782608695,0.06458557588805292,-1.14,0,135,5.0
2070.17,180.0,4.130434782608695,0.06458557588805292,-1.05,0,135,5.0
2070.622,180.0,4.130434782608695,0.021528525296016454,-0.97,0,135,5.0
2071.074,180.0,4.130434782608695,0.0,-1.14,0,135,5.0
2071.526,180.0,4.130434782608695,0.06458557588805292,-1.14,0,135,5.0
2071.979,180.0,4.130434782608695,0.08611410118406937,-1.32,0,135,5.0
2072.431,180.0,4.130434782608695,0.021528525296016454,-1.23,0,135,5.0
2072.883,180.0,4.130434782608695,0.04305705059203291,-1.32,0,135,5.0
2073.335,180.0,4.130434782608695,0.08611410118406937,-1.58,0,135,5.0
2073.787,180.0,4.130434782608695,0.021528525296016454,-1.76,0,135,5.0
2074.24,180.0,4.130434782608695,0.10764262648008582,-1.49,0,135,5.0
2074.692,180.0,4.130434782608695,0.04305705059203291,-1.41,0,135,5.0
2075.144,180.0,4.130434782608695,0.04305705059203291,-1.41,0,135,5.0
2075.596,180.0,4.130434782608695,0.04305705059203291,-1.14,0,135,5.0
2076.048,180.0,4.130434782608695,0.021528525296016454,-1.05,0,135,5.0
2076.501,180.0,4.130434782608695,0.08611410118406937,-1.05,0,135,5.0
2076.954,180.0,4.130434782608695,0.10764262648008582,-1.05,0,135,5.0
2077.407,180.0,4.130434782608695,0.06458557588805292,-1.05,0,135,5.0
2077.859,180.0,4.130434782608695,0.06458557588805292,-1.41,0,135,5.0
2078.312,180.0,4.130434782608695,-0.021528525296016454,-1.58,0,135,5.0
2078.764,180.0,4.130434782608695,0.021528525296016454,-1.58,0,135,5.0
2079.216,180.0,4.130434782608695,-0.021528525296016454,-1.32,0,135,5.0
2079.668,180.0,4.130434782608695,0.021528525296016454,-1.32,0,135,5.0
2080.121,180.0,4.130434782608695,0.0,-1.32,0,135,5.0
2080.573,180.0,4.130434782608695,0.06458557588805292,-1.14,0,135,5.0
2081.025,180.0,4.130434782608695,0.08611410118406937,-1.41,0,135,5.0
2081.477,180.0,4.130434782608695,0.021528525296016454,-1.49,0,135,5.0
2081.929,180.0,4.130434782608695,0.08611410118406937,-1.23,0,135,5.0
2082.382,180.0,4.130434782608695,0.021528525296016454,-1.32,0,135,5.0
2082.834,180.0,4.130434782608695,-0.021528525296016454,-1.32,0,135,5.0
2083.286,180.0,4.130434782608695,0.15069967707212228,-1.41,0,135,5.0
2083.738,180.0,4.130434782608695,0.04305705059203291,-1.67,0,135,5.0
2084.19,180.0,4.130434782608695,0.10764262648008582,-1.58,0,135,5.0
2084.643,180.0,4.130434782608695,-0.021528525296016454,-1.41,0,135,5.0
2085.095,180.0,4.130434782608695,0.04305705059203291,-1.32,0,135,5.0
2085.547,180.0,4.130434782608695,-0.04305705059203291,-1.14,0,135,5.0
2085.999,180.0,4.130434782608695,0.06458557588805292,-1.14,0,135,5.0
2086.451,180.0,4.130434782608695,0.04305705059203291,-1.49,0,135,5.0
2086.904,180.0,4.130434782608695,0.04305705059203291,-1.49,0,135,5.0
2087.356,180.0,4.130434782608695,0.021528525296016454,-1.49,0,135,5.0
2087.808,180.0,4.130434782608695,-0.021528525296016454,-1.23,0,135,5.0
2088.26,180.0,4.130434782608695,0.08611410118406937,-1.41,0,135,5.0
