,time,flex sensor,"actuator position, command","actuator position, measured",force,"Trial Number","Target Angle",newForce
1231,662.615,60.0,10.613333333333333,10.066050198150595,-16.96,8.0,60.0,5.452109374999999
1232,663.068,60.0,10.613333333333333,10.235138705416118,-16.7,8.0,60.0,5.712109375000001
1233,663.52,60.0,10.613333333333333,10.488771466314398,-16.61,8.0,60.0,5.802109375000001
1234,663.9730000000001,60.0,10.613333333333333,10.467635402906211,-16.61,8.0,60.0,5.802109375000001
1235,664.426,60.0,10.613333333333333,10.404227212681636,-16.61,8.0,60.0,5.802109375000001
1236,664.8789999999999,60.0,10.613333333333333,10.531043593130779,-16.61,8.0,60.0,5.802109375000001
1237,665.331,60.0,10.613333333333333,10.488771466314398,-16.61,8.0,60.0,5.802109375000001
1238,665.785,60.0,10.613333333333333,10.467635402906211,-16.7,8.0,60.0,5.712109375000001
1239,666.237,60.0,10.613333333333333,10.488771466314398,-16.7,8.0,60.0,5.712109375000001
1240,666.69,60.0,10.613333333333333,10.467635402906211,-16.7,8.0,60.0,5.712109375000001
1241,667.1419999999999,60.0,10.613333333333333,10.488771466314398,-16.7,8.0,60.0,5.712109375000001
1242,667.596,60.0,10.613333333333333,10.467635402906211,-16.7,8.0,60.0,5.712109375000001
1243,668.048,60.0,10.613333333333333,10.488771466314398,-16.7,8.0,60.0,5.712109375000001
1244,668.5010000000001,60.0,10.613333333333333,10.50990752972259,-16.7,8.0,60.0,5.712109375000001
1245,668.954,60.0,10.613333333333333,10.531043593130779,-16.7,8.0,60.0,5.712109375000001
1246,669.408,60.0,10.613333333333333,10.467635402906211,-16.88,8.0,60.0,5.532109375000001
1247,669.86,60.0,10.613333333333333,10.425363276089831,-16.88,8.0,60.0,5.532109375000001
1248,670.313,60.0,10.613333333333333,10.488771466314398,-16.7,8.0,60.0,5.712109375000001
1249,670.7660000000001,60.0,10.613333333333333,10.50990752972259,-16.7,8.0,60.0,5.712109375000001
1250,671.22,60.0,10.613333333333333,10.446499339498018,-16.7,8.0,60.0,5.712109375000001
1251,671.672,60.0,10.613333333333333,10.467635402906211,-16.88,9.0,45.0,5.532109375000001
1252,672.125,60.0,10.613333333333333,10.531043593130779,-16.88,9.0,45.0,5.532109375000001
1253,672.578,60.0,10.613333333333333,10.50990752972259,-16.88,9.0,45.0,5.532109375000001
1254,673.0310000000001,60.0,10.613333333333333,10.467635402906211,-16.7,9.0,45.0,5.712109375000001
1255,673.4839999999999,60.0,10.613333333333333,10.488771466314398,-16.88,9.0,45.0,5.532109375000001
1256,673.936,60.0,10.613333333333333,10.467635402906211,-16.7,9.0,45.0,5.712109375000001
1257,674.39,45.0,11.466666666666667,10.531043593130779,-16.52,9.0,45.0,5.892109375
1258,674.842,45.0,11.466666666666667,11.059445178335539,-15.82,9.0,45.0,6.592109375
1259,675.295,45.0,11.466666666666667,10.869220607661823,-15.82,9.0,45.0,6.592109375
1260,675.747,45.0,11.466666666666667,11.080581241743726,-15.64,9.0,45.0,6.772109374999999
1261,676.201,45.0,11.466666666666667,11.207397622192866,-15.56,9.0,45.0,6.8521093749999995
1262,676.653,45.0,11.466666666666667,11.334214002642007,-15.64,9.0,45.0,6.772109374999999
1263,677.1060000000001,45.0,11.466666666666667,11.355350066050198,-15.64,9.0,45.0,6.772109374999999
1264,677.559,45.0,11.466666666666667,11.270805812417438,-15.56,9.0,45.0,6.8521093749999995
1265,678.012,45.0,11.466666666666667,11.334214002642007,-15.73,9.0,45.0,6.682109375
1266,678.4639999999999,45.0,11.466666666666667,11.355350066050198,-15.64,9.0,45.0,6.772109374999999
1267,678.9169999999999,45.0,11.466666666666667,11.24966974900925,-15.82,9.0,45.0,6.592109375
1268,679.37,45.0,11.466666666666667,11.313077939233818,-15.73,9.0,45.0,6.682109375
1269,679.823,45.0,11.466666666666667,11.334214002642007,-15.82,9.0,45.0,6.592109375
1270,680.275,45.0,11.466666666666667,11.418758256274767,-15.73,9.0,45.0,6.682109375
1271,680.7289999999999,45.0,11.466666666666667,11.313077939233818,-15.73,9.0,45.0,6.682109375
1272,681.181,45.0,11.466666666666667,11.24966974900925,-15.82,9.0,45.0,6.592109375
1273,681.6339999999999,45.0,11.466666666666667,11.291941875825627,-15.64,9.0,45.0,6.772109374999999
1274,682.086,45.0,11.466666666666667,11.334214002642007,-15.82,9.0,45.0,6.592109375
1275,682.54,45.0,11.466666666666667,11.334214002642007,-15.64,9.0,45.0,6.772109374999999
1276,682.992,45.0,11.466666666666667,11.397622192866578,-15.82,9.0,45.0,6.592109375
1277,683.445,45.0,11.466666666666667,11.355350066050198,-15.82,9.0,45.0,6.592109375
1278,683.898,45.0,11.466666666666667,11.313077939233818,-15.82,9.0,45.0,6.592109375
1279,684.352,45.0,11.466666666666667,11.355350066050198,-15.82,0.0,180.0,6.592109375
1280,684.804,45.0,11.466666666666667,11.291941875825627,-15.82,0.0,180.0,6.592109375
1281,685.257,45.0,11.466666666666667,11.270805812417438,-16.08,0.0,180.0,6.332109375000002
1282,685.71,45.0,11.466666666666667,11.334214002642007,-15.91,0.0,180.0,6.502109375
1283,686.163,45.0,11.466666666666667,11.355350066050198,-15.91,0.0,180.0,6.502109375
1284,686.6160000000001,45.0,11.466666666666667,11.376486129458387,-15.91,0.0,180.0,6.502109375
1285,687.068,45.0,11.466666666666667,11.291941875825627,-16.08,0.0,180.0,6.332109375000002
1286,687.5219999999999,45.0,11.466666666666667,11.313077939233818,-16.0,0.0,180.0,6.412109375
1287,687.975,45.0,11.466666666666667,11.355350066050198,-15.91,0.0,180.0,6.502109375
1288,688.427,45.0,11.466666666666667,11.376486129458387,-15.82,0.0,180.0,6.592109375
1289,688.88,45.0,11.466666666666667,11.355350066050198,-15.91,0.0,180.0,6.502109375
1290,689.3330000000001,45.0,11.466666666666667,11.334214002642007,-16.08,0.0,180.0,6.332109375000002
1291,690.085,45.0,11.466666666666667,8.628797886393661,-19.42,0.0,180.0,2.9921093749999983
1292,690.538,45.0,11.466666666666667,3.3659180977542924,-2371.64,0.0,180.0,-2349.227890625
1293,690.99,45.0,11.466666666666667,3.936591809775429,-22.15,0.0,180.0,0.2621093750000014
1294,691.443,45.0,11.466666666666667,3.957727873183618,-22.24,0.0,180.0,0.17210937500000156
1295,691.8969999999999,45.0,11.466666666666667,3.936591809775429,-22.32,0.0,180.0,0.09210937499999972
1296,692.3489999999999,45.0,11.466666666666667,3.9788639365918113,-22.32,0.0,180.0,0.09210937499999972
1297,692.802,45.0,11.466666666666667,3.91545574636724,-22.32,0.0,180.0,0.09210937499999972
1298,693.2539999999999,45.0,11.466666666666667,3.936591809775429,-22.41,0.0,180.0,0.002109374999999858
1299,693.7080000000001,45.0,11.466666666666667,3.9788639365918113,-22.5,0.0,180.0,-0.087890625
1300,694.16,45.0,11.466666666666667,4.021136063408191,-22.41,0.0,180.0,0.002109374999999858
1301,694.613,45.0,11.466666666666667,4.063408190224571,-22.41,0.0,180.0,0.002109374999999858
1302,695.065,45.0,11.466666666666667,4.021136063408191,-22.41,0.0,180.0,0.002109374999999858
1303,695.518,45.0,11.466666666666667,3.8943196829590505,-22.41,0.0,180.0,0.002109374999999858
1304,695.971,45.0,11.466666666666667,3.957727873183618,-22.41,0.0,180.0,0.002109374999999858
1305,696.423,45.0,11.466666666666667,3.9788639365918113,-22.41,0.0,180.0,0.002109374999999858
1306,696.8760000000001,45.0,11.466666666666667,3.957727873183618,-22.41,0.0,180.0,0.002109374999999858
1307,697.329,45.0,11.466666666666667,3.957727873183618,-22.41,0.0,180.0,0.002109374999999858
1308,697.7819999999999,45.0,11.466666666666667,3.9788639365918113,-22.41,0.0,180.0,0.002109374999999858
1309,698.2339999999999,45.0,11.466666666666667,3.91545574636724,-22.41,0.0,180.0,0.002109374999999858
1310,698.687,45.0,11.466666666666667,3.9788639365918113,-22.41,0.0,180.0,0.002109374999999858
1311,699.14,45.0,11.466666666666667,4.0,-22.41,0.0,180.0,0.002109374999999858
1312,699.592,45.0,11.466666666666667,3.957727873183618,-22.5,0.0,180.0,-0.087890625
1313,700.045,45.0,11.466666666666667,4.021136063408191,-22.5,0.0,180.0,-0.087890625
1314,700.497,45.0,11.466666666666667,4.0,-22.5,0.0,180.0,-0.087890625
1315,700.951,45.0,11.466666666666667,3.9788639365918113,-22.5,0.0,180.0,-0.087890625
1316,701.404,45.0,11.466666666666667,3.8731836195508578,-22.5,0.0,180.0,-0.087890625
1317,701.857,45.0,11.466666666666667,4.190224570673712,-22.5,0.0,180.0,-0.087890625
1318,702.309,45.0,11.466666666666667,4.0,-22.5,0.0,180.0,-0.087890625
1319,702.762,45.0,11.466666666666667,4.063408190224571,-22.5,0.0,180.0,-0.087890625
1320,703.216,45.0,11.466666666666667,4.04227212681638,-22.41,0.0,180.0,0.002109374999999858
1321,703.668,45.0,11.466666666666667,3.957727873183618,-22.5,0.0,180.0,-0.087890625
1322,704.1210000000001,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1323,704.573,45.0,11.466666666666667,3.957727873183618,-22.59,0.0,180.0,-0.17789062499999986
1324,705.0269999999999,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1325,705.48,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1326,705.932,45.0,11.466666666666667,3.957727873183618,-22.85,0.0,180.0,-0.4378906250000014
1327,706.385,45.0,11.466666666666667,3.957727873183618,-22.85,0.0,180.0,-0.4378906250000014
1328,706.8389999999999,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1329,707.291,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1330,707.7439999999999,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1331,708.196,45.0,11.466666666666667,4.021136063408191,-22.59,0.0,180.0,-0.17789062499999986
1332,708.6489999999999,45.0,11.466666666666667,3.936591809775429,-22.85,0.0,180.0,-0.4378906250000014
1333,709.102,45.0,11.466666666666667,3.9788639365918113,-22.76,0.0,180.0,-0.34789062500000156
1334,709.554,45.0,11.466666666666667,4.04227212681638,-22.85,0.0,180.0,-0.4378906250000014
1335,710.008,45.0,11.466666666666667,3.809775429326287,-22.85,0.0,180.0,-0.4378906250000014
1336,710.46,45.0,11.466666666666667,3.9788639365918113,-22.85,0.0,180.0,-0.4378906250000014
1337,710.913,45.0,11.466666666666667,3.9788639365918113,-22.85,0.0,180.0,-0.4378906250000014
1338,711.3660000000001,45.0,11.466666666666667,3.91545574636724,-22.5,0.0,180.0,-0.087890625
1339,711.818,45.0,11.466666666666667,3.936591809775429,-22.59,0.0,180.0,-0.17789062499999986
1340,712.2710000000001,45.0,11.466666666666667,4.063408190224571,-22.59,0.0,180.0,-0.17789062499999986
1341,712.7239999999999,45.0,11.466666666666667,4.0,-22.5,0.0,180.0,-0.087890625
1342,713.177,45.0,11.466666666666667,3.936591809775429,-22.59,0.0,180.0,-0.17789062499999986
1343,713.63,45.0,11.466666666666667,4.0,-22.76,0.0,180.0,-0.34789062500000156
1344,714.082,45.0,11.466666666666667,4.0,-22.68,0.0,180.0,-0.2678906249999997
1345,714.5360000000001,45.0,11.466666666666667,3.9788639365918113,-22.85,0.0,180.0,-0.4378906250000014
1346,714.988,45.0,11.466666666666667,4.04227212681638,-22.85,0.0,180.0,-0.4378906250000014
1347,715.441,45.0,11.466666666666667,3.9788639365918113,-22.76,0.0,180.0,-0.34789062500000156
1348,715.893,45.0,11.466666666666667,3.9788639365918113,-22.68,0.0,180.0,-0.2678906249999997
1349,716.346,45.0,11.466666666666667,4.021136063408191,-22.76,0.0,180.0,-0.34789062500000156
1350,716.799,45.0,11.466666666666667,4.0,-22.59,0.0,180.0,-0.17789062499999986
1351,717.2510000000001,45.0,11.466666666666667,3.8731836195508578,-22.59,0.0,180.0,-0.17789062499999986
1352,717.705,45.0,11.466666666666667,4.04227212681638,-22.85,0.0,180.0,-0.4378906250000014
1353,718.158,45.0,11.466666666666667,3.957727873183618,-22.59,0.0,180.0,-0.17789062499999986
1354,718.6110000000001,45.0,11.466666666666667,4.04227212681638,-22.59,0.0,180.0,-0.17789062499999986
1355,719.063,45.0,11.466666666666667,4.04227212681638,-22.59,0.0,180.0,-0.17789062499999986
1356,719.5169999999999,45.0,11.466666666666667,3.9788639365918113,-22.68,0.0,180.0,-0.2678906249999997
1357,719.97,45.0,11.466666666666667,3.91545574636724,-22.76,0.0,180.0,-0.34789062500000156
1358,720.422,45.0,11.466666666666667,3.9788639365918113,-22.76,0.0,180.0,-0.34789062500000156
1359,720.875,45.0,11.466666666666667,3.957727873183618,-22.76,0.0,180.0,-0.34789062500000156
1360,721.328,45.0,11.466666666666667,4.0,-22.59,0.0,180.0,-0.17789062499999986
1361,721.7810000000001,45.0,11.466666666666667,3.957727873183618,-22.59,0.0,180.0,-0.17789062499999986
1362,722.2339999999999,45.0,11.466666666666667,3.957727873183618,-22.59,0.0,180.0,-0.17789062499999986
1363,722.686,45.0,11.466666666666667,3.957727873183618,-22.59,0.0,180.0,-0.17789062499999986
1364,723.14,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1365,723.5930000000001,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1366,724.046,45.0,11.466666666666667,3.9788639365918113,-22.76,0.0,180.0,-0.34789062500000156
1367,724.498,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1368,724.951,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1369,725.405,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1370,725.857,45.0,11.466666666666667,3.91545574636724,-22.59,0.0,180.0,-0.17789062499999986
1371,726.31,45.0,11.466666666666667,4.04227212681638,-22.76,0.0,180.0,-0.34789062500000156
1372,726.763,45.0,11.466666666666667,4.105680317040951,-22.68,0.0,180.0,-0.2678906249999997
1373,727.217,45.0,11.466666666666667,3.957727873183618,-22.59,0.0,180.0,-0.17789062499999986
1374,727.669,45.0,11.466666666666667,4.021136063408191,-22.59,0.0,180.0,-0.17789062499999986
1375,728.122,45.0,11.466666666666667,3.936591809775429,-22.85,0.0,180.0,-0.4378906250000014
1376,728.575,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
1377,729.028,45.0,11.466666666666667,4.0,-22.59,0.0,180.0,-0.17789062499999986
1378,729.4810000000001,45.0,11.466666666666667,4.0,-22.59,0.0,180.0,-0.17789062499999986
1379,729.933,45.0,11.466666666666667,3.9788639365918113,-22.85,0.0,180.0,-0.4378906250000014
1380,730.387,45.0,11.466666666666667,3.957727873183618,-22.85,0.0,180.0,-0.4378906250000014
1381,730.8389999999999,45.0,11.466666666666667,4.0,-22.85,0.0,180.0,-0.4378906250000014
1382,731.2919999999999,45.0,11.466666666666667,3.9788639365918113,-22.59,0.0,180.0,-0.17789062499999986
