t1,t2,command,force,position
151604714,151604715,49,-1,985
151612714,151612715,49,-1,984
151620718,151620718,49,-1,984
151628713,151628713,49,-1,985
151636714,151636714,49,-1,984
151644714,151644715,49,-1,984
151652714,151652714,49,-1,985
151660718,151660718,49,-1,983
151668713,151668714,49,-1,986
151676714,151676714,49,-1,985
151684714,151684714,49,-1,985
151692714,151692714,49,-1,984
151700718,151700719,49,-1,985
151708713,151708713,49,-1,984
151716714,151716715,49,-1,984
151724714,151724715,49,-1,984
151732714,151732715,49,-1,985
151740718,151740719,49,-1,984
151748713,151748713,49,-1,982
151756714,151756715,49,-1,982
151764714,151764715,49,-1,985
151772714,151772715,49,-1,986
151780718,151780719,49,-1,983
151788713,151788713,49,-1,984
151796714,151796715,49,-1,986
151804714,151804715,49,-1,985
151812714,151812715,49,-1,986
151820718,151820719,49,-1,984
151828712,151828713,49,-1,983
151836714,151836715,49,-1,985
151844714,151844715,49,-1,985
151852714,151852715,49,-1,984
151860719,151860719,49,-1,984
151868712,151868713,49,-1,985
151876714,151876715,49,-1,984
151884714,151884715,49,-1,985
151892714,151892714,49,-1,985
151900718,151900719,49,-1,985
151908713,151908713,49,-1,985
151916714,151916715,49,-1,985
151924714,151924715,49,-1,985
151932714,151932714,49,-1,985
151940718,151940719,49,-1,985
151948713,151948713,49,-1,985
151956714,151956715,49,-1,985
151964714,151964715,49,-1,985
151972714,151972715,49,-1,985
151980718,151980719,49,-1,985
151988713,151988714,49,-1,984
151996714,151996715,49,-1,985
152004714,152004715,49,-1,984
152012714,152012715,49,-1,985
152020718,152020719,49,-1,985
152028713,152028713,49,-1,985
152036714,152036715,49,-1,985
152044714,152044715,49,-1,984
152052714,152052714,49,-1,983
152060718,152060719,49,-1,984
152068713,152068714,49,-1,986
152076714,152076715,49,-1,984
152084714,152084715,49,-1,985
152092714,152092715,49,-1,985
152100718,152100719,49,-1,985
152108713,152108714,49,-1,985
152116714,152116715,49,-1,983
152124714,152124715,49,-1,985
152132714,152132715,49,-1,985
152140718,152140719,49,-1,984
152148713,152148713,49,-1,984
152156714,152156714,49,-1,985
152164714,152164715,49,-1,985
152172714,152172715,49,-1,984
152180718,152180719,49,-1,985
152188713,152188713,49,-1,984
152196714,152196715,49,-1,984
152204714,152204715,49,-1,985
152212714,152212715,49,-1,984
152220719,152220719,49,-1,984
152228712,152228713,49,-1,984
152236714,152236715,49,-1,985
152244714,152244715,49,-1,983
152252714,152252715,49,-1,985
152260719,152260719,49,-1,983
152268713,152268713,49,-1,984
152276714,152276715,49,-1,984
152284715,152284715,49,-1,985
152292714,152292714,49,-1,985
152300718,152300719,49,-1,983
152308713,152308713,49,-1,984
152316714,152316714,49,-1,984
152324714,152324715,49,-1,985
152332714,152332715,49,-1,985
152340718,152340718,49,-1,985
152348713,152348713,49,-1,984
152356714,152356715,49,-1,985
152364714,152364715,49,-1,985
152372714,152372714,49,-1,983
152380718,152380719,49,-1,985
152388713,152388714,49,-1,985
152396714,152396715,49,-1,986
152404714,152404715,49,-1,985
152412714,152412715,49,-1,985
152420718,152420719,49,-1,986
152428713,152428713,49,-1,985
152436714,152436715,49,-1,984
152444714,152444714,49,-1,984
152452714,152452714,49,-1,984
152460718,152460719,49,-1,985
152468712,152468713,49,-1,985
152476714,152476715,49,-1,986
152484714,152484715,49,-1,984
152492714,152492715,49,-1,984
