t1,t2,command,measured,zero
143312537,143312537,49,257,0
143318692,143318692,49,257,0
143324853,143324853,49,256,0
143332025,143332026,49,256,0
143338183,143338184,49,256,0
143344340,143344340,49,257,0
143350501,143350501,49,257,0
143356663,143356663,49,257,0
143363545,143363545,49,259,0
143369701,143369701,49,259,0
143375860,143375860,49,258,0
143382248,143382249,49,258,0
143388425,143388426,49,258,0
143394589,143394590,49,259,0
143400748,143400748,49,259,0
143406910,143406911,49,260,0
143414028,143414028,49,260,0
143420183,143420184,49,260,0
143426341,143426341,49,262,0
143432502,143432502,49,262,0
143438658,143438659,49,260,0
143445921,143445921,49,260,0
143452083,143452084,49,260,0
143458240,143458241,49,262,0
143464398,143464399,49,262,0
143470558,143470559,49,262,0
143477363,143477364,49,261,0
143483524,143483524,49,261,0
143489683,143489683,49,261,0
143496003,143496003,49,261,0
143502171,143502172,49,261,0
143508328,143508329,49,261,0
143514494,143514494,49,261,0
143520652,143520653,49,259,0
143527933,143527934,49,259,0
143534100,143534100,49,259,0
143540265,143540266,49,258,0
143546425,143546425,49,258,0
143552583,143552583,49,257,0
143559916,143559917,49,257,0
143566072,143566073,49,257,0
143572227,143572228,49,259,0
143578389,143578389,49,259,0
143584550,143584551,49,259,0
143591382,143591382,49,258,0
143597537,143597537,49,258,0
143603688,143603689,49,258,0
143610075,143610075,49,258,0
143616232,143616233,49,258,0
143622392,143622392,49,258,0
143628551,143628551,49,258,0
143634710,143634711,49,258,0
143641943,143641943,49,258,0
143648098,143648098,49,258,0
143654257,143654257,49,258,0
143660413,143660413,49,258,0
143666570,143666570,49,258,0
143673739,143673740,49,258,0
143679898,143679899,49,258,0
143686054,143686055,49,258,0
143692212,143692213,49,258,0
143698372,143698372,49,258,0
143705174,143705175,49,258,0
143711333,143711334,49,258,0
143717490,143717491,49,258,0
143723834,143723835,49,258,0
143729993,143729994,49,258,0
143736146,143736147,49,258,0
143742305,143742305,49,258,0
143748466,143748466,49,259,0
143755665,143755666,49,259,0
143761821,143761822,49,259,0
143767982,143767983,49,258,0
143774144,143774145,49,258,0
143780303,143780304,49,258,0
143787229,143787229,49,258,0
143793392,143793392,49,258,0
143799550,143799550,49,259,0
143805960,143805961,49,259,0
143812121,143812121,49,259,0
143818274,143818275,49,260,0
143824431,143824431,49,260,0
143830589,143830589,49,260,0
143837867,143837868,49,260,0
143844022,143844022,49,260,0
143850183,143850183,49,258,0
143856338,143856338,49,258,0
143862493,143862494,49,258,0
143869442,143869442,49,258,0
143875601,143875602,49,258,0
143881757,143881758,49,258,0
143888121,143888121,49,258,0
143894276,143894276,49,258,0
143900435,143900436,49,258,0
143906595,143906595,49,258,0
143912754,143912755,49,258,0
143920041,143920042,49,258,0
143926194,143926195,49,258,0
143932355,143932355,49,259,0
143938511,143938512,49,259,0
143944667,143944667,49,259,0
143951566,143951566,49,258,0
143957723,143957724,49,258,0
143963879,143963879,49,258,0
143970212,143970212,49,258,0
143976396,143976397,49,258,0
143982553,143982554,49,259,0
143988710,143988710,49,259,0
143994867,143994868,49,257,0
144002142,144002143,49,257,0
144008301,144008302,49,257,0
144014468,144014468,49,257,0
144020625,144020626,49,257,0
144026779,144026779,49,257,0
144034053,144034053,49,257,0
144040210,144040211,49,257,0
144046367,144046368,49,257,0
144052518,144052518,49,257,0
144058671,144058671,49,259,0
144065767,144065767,49,259,0
144071926,144071926,49,259,0
144078081,144078082,49,260,0
144084234,144084235,49,260,0
144090389,144090390,49,260,0
144097212,144097212,49,260,0
144103363,144103364,49,260,0
144109522,144109522,49,260,0
144115877,144115877,49,260,0
144122034,144122035,49,260,0
144128190,144128191,49,260,0
144134352,144134352,49,260,0
144140510,144140511,49,259,0
144147816,144147819,49,259,0
144153980,144153981,49,259,0
144160140,144160141,49,258,0
144166298,144166298,49,258,0
144172458,144172459,49,258,0
144179279,144179280,49,258,0
144185435,144185435,49,258,0
144191592,144191593,49,258,0
144198005,144198006,49,258,0
144204159,144204160,49,258,0
144210318,144210319,49,257,0
144216472,144216473,49,257,0
144222626,144222627,49,257,0
144229924,144229924,49,257,0
144236081,144236081,49,257,0
144242236,144242237,49,257,0
144248391,144248391,49,257,0
144254552,144254553,49,257,0
144261418,144261419,49,257,0
144267577,144267578,49,257,0
144273739,144273740,49,259,0
144280091,144280091,49,259,0
144286267,144286268,49,259,0
144292426,144292427,49,258,0
144298588,144298589,49,258,0
144304740,144304741,49,258,0
144312026,144312026,49,258,0
144318186,144318187,49,258,0
144324345,144324346,49,259,0
144330504,144330504,49,259,0
144336661,144336662,49,260,0
144343825,144343826,49,260,0
144349980,144349981,49,260,0
144356145,144356145,49,259,0
144362300,144362301,49,259,0
144368456,144368456,49,259,0
144375450,144375450,49,258,0
144381605,144381606,49,258,0
144387756,144387756,49,258,0
144394163,144394163,49,258,0
144400320,144400321,49,258,0
144406478,144406479,49,258,0
144412636,144412636,49,258,0
144418790,144418790,49,259,0
144425969,144425969,49,259,0
144432128,144432129,49,259,0
144438278,144438278,49,260,0
144444435,144444435,49,260,0
144450590,144450591,49,260,0
144457428,144457429,49,259,0
144463583,144463584,49,259,0
144469739,144469739,49,258,0
144476186,144476187,49,258,0
144482371,144482371,49,258,0
144488526,144488526,49,258,0
144494682,144494682,49,258,0
144500836,144500837,49,258,0
144508058,144508058,49,258,0
144514222,144514223,49,258,0
144520380,144520381,49,259,0
144526541,144526541,49,259,0
144532698,144532698,49,259,0
144539587,144539588,49,260,0
144545744,144545744,49,260,0
144551900,144551901,49,259,0
144558282,144558283,49,259,0
144564443,144564444,49,259,0
144570603,144570604,49,258,0
144576762,144576763,49,258,0
144582918,144582919,49,259,0
144590160,144590161,49,259,0
144596321,144596321,49,259,0
144602479,144602479,49,260,0
144608638,144608639,49,260,0
144614796,144614796,49,260,0
144621651,144621652,49,260,0
144627805,144627806,49,260,0
144633967,144633968,49,260,0
144640370,144640370,49,260,0
144646520,144646521,49,260,0
144652675,144652675,49,259,0
144658835,144658836,49,259,0
144664996,144664997,49,258,0
144672238,144672239,49,258,0
144678393,144678394,49,258,0
144684552,144684553,49,257,0
144690710,144690710,49,257,0
144696867,144696868,49,257,0
144703759,144703759,49,257,0
144709915,144709915,49,257,0
144716074,144716075,49,259,0
144722368,144722368,49,259,0
144728533,144728534,49,259,0
144734690,144734691,49,260,0
144740848,144740848,49,260,0
144747004,144747004,49,260,0
144754202,144754203,49,260,0
144760363,144760364,49,260,0
144766521,144766522,49,259,0
144772677,144772678,49,259,0
144778832,144778833,49,259,0
144785776,144785777,49,258,0
144791937,144791937,49,258,0
144798094,144798095,49,259,0
144804421,144804422,49,259,0
144810612,144810612,49,259,0
144816770,144816771,49,258,0
144822927,144822928,49,258,0
144829086,144829086,49,259,0
144836285,144836285,49,259,0
144842439,144842439,49,259,0
144848598,144848598,49,258,0
144854753,144854754,49,258,0
144860909,144860909,49,259,0
144868128,144868128,49,259,0
144874289,144874290,49,259,0
144880448,144880449,49,258,0
144886604,144886605,49,258,0
144892760,144892760,49,258,0
144899601,144899602,49,258,0
144905753,144905754,49,258,0
144911913,144911914,49,258,0
144918302,144918303,49,258,0
144924488,144924488,49,258,0
144930644,144930645,49,259,0
144936798,144936799,49,259,0
144942956,144942957,49,260,0
144950164,144950165,49,260,0
144956325,144956325,49,260,0
144962483,144962483,49,260,0
144968637,144968638,49,260,0
144974795,144974796,49,260,0
144981719,144981719,49,259,0
144987873,144987874,49,259,0
144994035,144994035,49,260,0
145000335,145000336,49,260,0
145006494,145006495,49,260,0
145012650,145012651,49,259,0
145018808,145018808,49,259,0
145024963,145024964,49,258,0
145032154,145032154,49,258,0
145038309,145038310,49,258,0
145044466,145044466,49,259,0
145050622,145050623,49,259,0
145056777,145056777,49,259,0
145063673,145063674,49,258,0
145069833,145069833,49,258,0
145075996,145075996,49,258,0
145082290,145082291,49,258,0
145088454,145088454,49,258,0
145094616,145094617,49,259,0
145100773,145100773,49,259,0
145106931,145106931,49,258,0
145114049,145114049,49,258,0
145120209,145120210,49,258,0
145126369,145126370,49,258,0
145132526,145132526,49,258,0
145138685,145138685,49,258,0
145145951,145145951,49,258,0
145152110,145152110,49,258,0
145158268,145158269,49,258,0
145164428,145164429,49,258,0
145170584,145170584,49,258,0
145177478,145177479,49,259,0
145183632,145183633,49,259,0
145189789,145189789,49,260,0
145196142,145196142,49,260,0
145202297,145202297,49,260,0
145208457,145208458,49,259,0
145214619,145214619,49,259,0
145220772,145220772,49,260,0
145227941,145227942,49,260,0
145234103,145234103,49,260,0
145240258,145240258,49,259,0
145246411,145246412,49,259,0
145252568,145252569,49,259,0
145259512,145259512,49,260,0
145265667,145265667,49,260,0
145271826,145271826,49,260,0
145278156,145278157,49,260,0
145284311,145284312,49,260,0
145290469,145290470,49,262,0
145296626,145296627,49,262,0
145302776,145302777,49,261,0
145310019,145310020,49,261,0
145316178,145316178,49,261,0
145322338,145322338,49,259,0
145328496,145328497,49,259,0
145334655,145334655,49,259,0
145341550,145341550,49,260,0
145347703,145347703,49,260,0
145353867,145353867,49,259,0
145360190,145360191,49,259,0
145366352,145366352,49,259,0
145372512,145372512,49,258,0
145378668,145378669,49,258,0
145384826,145384827,49,258,0
145392028,145392028,49,258,0
145398187,145398188,49,258,0
145404345,145404346,49,258,0
145410504,145410504,49,258,0
145416661,145416662,49,258,0
145423558,145423558,49,259,0
145429715,145429716,49,259,0
145435869,145435870,49,260,0
145442211,145442211,49,260,0
145448365,145448366,49,260,0
145454530,145454530,49,259,0
145460684,145460685,49,259,0
145466841,145466842,49,260,0
145474120,145474121,49,260,0
145480278,145480279,49,260,0
145486437,145486438,49,260,0
145492599,145492600,49,260,0
145498757,145498758,49,260,0
145505581,145505582,49,260,0
145511737,145511737,49,260,0
145517892,145517892,49,260,0
145524339,145524339,49,260,0
145530498,145530499,49,260,0
145536654,145536655,49,259,0
145542811,145542812,49,259,0
145548972,145548972,49,258,0
145556140,145556140,49,258,0
145562297,145562298,49,258,0
145568452,145568453,49,258,0
145574617,145574619,50,258,0
145580776,145580776,50,258,0
145587745,145587746,50,259,0
145593908,145593908,50,259,0
145600067,145600067,50,258,0
145606403,145606404,50,258,0
145612568,145612569,50,258,0
145618726,145618727,50,258,0
145624885,145624886,50,258,0
145631043,145631043,50,258,0
145638274,145638274,50,258,0
145644430,145644430,50,258,0
145650589,145650589,50,259,0
145656745,145656746,50,259,0
145662897,145662898,50,259,0
145669832,145669832,50,258,0
145675992,145675992,50,258,0
145682153,145682153,50,259,0
145688567,145688567,50,259,0
145694729,145694729,50,259,0
145700886,145700886,50,260,0
145707044,145707045,50,260,0
145713209,145713209,50,260,0
145720445,145720446,50,260,0
145726609,145726610,50,260,0
145732771,145732772,50,260,0
145738933,145738934,50,260,0
145745092,145745093,50,260,0
145751937,145751937,50,260,0
145758098,145758099,50,260,0
145764259,145764259,50,260,0
145770678,145770679,50,260,0
145776842,145776843,50,260,0
145782998,145782998,50,259,0
145789159,145789160,50,259,0
145795324,145795324,50,260,0
145802542,145802542,50,260,0
145808700,145808701,50,260,0
145814862,145814862,50,260,0
145821020,145821020,50,260,0
145827180,145827180,50,260,0
145834107,145834108,50,260,0
145840268,145840268,50,260,0
145846427,145846428,50,260,0
145852834,145852834,50,260,0
145858993,145858994,50,260,0
145865154,145865154,50,259,0
145871312,145871312,50,259,0
145877470,145877471,50,258,0
145884690,145884691,50,258,0
145890850,145890850,50,258,0
145897008,145897009,50,259,0
145903169,145903169,50,259,0
145909331,145909331,50,258,0
145916651,145916652,50,258,0
145922811,145922811,50,258,0
145928972,145928973,50,258,0
145935132,145935133,50,258,0
145941292,145941292,50,258,0
145948173,145948174,50,259,0
145954335,145954336,50,259,0
145960494,145960494,50,260,0
145966842,145966842,50,260,0
145973001,145973002,50,260,0
145979161,145979162,50,260,0
145985320,145985321,50,260,0
145991484,145991485,50,259,0
145998655,145998655,50,259,0
146004815,146004816,50,259,0
146010975,146010976,50,260,0
146017139,146017139,50,260,0
146023296,146023297,50,260,0
146030146,146030146,50,260,0
146036301,146036302,50,260,0
146042461,146042461,50,259,0
146048837,146048838,50,259,0
146054995,146054996,50,259,0
146061152,146061153,50,258,0
146067306,146067307,50,258,0
146073472,146073472,50,258,0
146080747,146080747,50,258,0
146086899,146086899,50,258,0
146093060,146093061,50,259,0
146099215,146099216,50,259,0
146105375,146105376,50,260,0
146112540,146112541,50,260,0
146118693,146118693,50,260,0
146124850,146124850,50,260,0
146131010,146131011,50,260,0
146137168,146137168,50,260,0
146144154,146144154,50,259,0
146150314,146150315,50,259,0
146156474,146156475,50,260,0
146162767,146162767,50,260,0
146168925,146168926,50,260,0
146175091,146175091,50,259,0
146181247,146181248,50,259,0
146187405,146187405,50,261,0
146194692,146194693,50,261,0
146200851,146200852,50,261,0
146207017,146207017,50,261,0
146213176,146213177,50,261,0
146219334,146219334,50,261,0
146226163,146226163,50,259,0
146232322,146232323,50,259,0
146238481,146238482,50,258,0
146244839,146244840,50,258,0
146250991,146250992,50,258,0
146257151,146257151,50,259,0
146263309,146263310,50,259,0
146269466,146269466,50,261,0
146276647,146276648,50,261,0
