time,flex sensor,"actuator position, command","actuator position, measured",force,"""Trial Number""","""Target Angle"""
792.715,95.0,9.973333333333333,10.106382978723405,4.22,6,120
793.168,100.0,9.546666666666667,9.702127659574469,3.96,6,120
793.62,107.0,9.120000000000001,9.319148936170214,3.69,6,120
794.074,110.0,8.906666666666666,8.787234042553191,3.52,6,120
794.526,111.0,8.906666666666666,8.808510638297872,3.43,6,120
794.979,115.0,8.48,8.72340425531915,3.43,6,120
795.431,116.0,8.48,8.446808510638299,3.25,6,120
795.885,116.0,8.48,8.382978723404255,3.25,6,120
796.338,122.0,8.053333333333335,8.297872340425531,3.25,6,120
796.79,122.0,8.053333333333335,7.8085106382978715,2.9,6,120
797.243,122.0,8.053333333333335,7.8936170212765955,2.9,6,120
797.696,122.0,8.053333333333335,7.914893617021276,2.9,6,120
798.148,118.0,8.266666666666666,7.9787234042553195,2.9,6,120
798.601,117.0,8.48,7.8936170212765955,2.99,6,120
799.054,116.0,8.48,8.425531914893616,3.34,7,165
799.507,116.0,8.48,8.425531914893616,3.25,7,165
799.96,116.0,8.48,8.340425531914894,3.16,7,165
800.412,119.0,8.266666666666666,8.042553191489361,3.16,7,165
800.866,124.0,7.84,7.9787234042553195,2.99,7,165
801.319,130.0,7.413333333333334,7.51063829787234,2.46,7,165
801.771,137.0,6.986666666666666,7.148936170212766,2.2,7,165
802.224,141.0,6.773333333333333,6.723404255319149,1.93,7,165
802.677,145.0,6.5600000000000005,6.446808510638299,1.67,7,165
803.129,146.0,6.346666666666667,6.404255319148936,1.67,7,165
803.582,146.0,6.346666666666667,6.276595744680851,1.58,7,165
804.035,147.0,6.346666666666667,6.276595744680851,1.58,7,165
804.488,150.0,6.133333333333333,6.170212765957446,1.14,7,165
804.941,153.0,5.92,6.063829787234043,1.32,7,165
805.393,156.0,5.706666666666667,5.723404255319149,0.88,7,165
805.846,160.0,5.493333333333333,5.297872340425531,0.7,8,150
806.3,160.0,5.493333333333333,5.319148936170214,0.79,8,150
806.752,160.0,5.493333333333333,5.382978723404255,0.79,8,150
807.205,160.0,5.493333333333333,5.23404255319149,0.79,8,150
807.658,159.0,5.493333333333333,5.361702127659575,0.88,8,150
808.111,156.0,5.706666666666667,5.531914893617021,0.79,8,150
808.563,153.0,5.92,5.553191489361701,0.88,8,150
809.016,152.0,5.92,5.8085106382978715,1.05,8,150
809.469,148.0,6.346666666666667,5.851063829787234,1.05,8,150
809.922,144.0,6.5600000000000005,6.148936170212766,1.41,8,150
810.375,143.0,6.5600000000000005,6.1914893617021285,1.58,8,150
810.827,142.0,6.5600000000000005,6.340425531914894,1.58,8,150
811.28,142.0,6.5600000000000005,6.446808510638299,1.58,8,150
811.734,142.0,6.5600000000000005,6.382978723404255,1.58,8,150
812.186,141.0,6.773333333333333,6.382978723404255,1.58,8,150
812.639,138.0,6.986666666666666,6.787234042553191,2.11,9,45
813.092,138.0,6.986666666666666,6.8085106382978715,2.11,9,45
813.545,138.0,6.986666666666666,6.8085106382978715,2.2,9,45
813.998,137.0,6.986666666666666,6.851063829787234,2.2,9,45
814.45,131.0,7.413333333333334,6.851063829787234,2.2,9,45
814.903,124.0,7.84,7.574468085106384,2.9,9,45
815.357,118.0,8.266666666666666,7.957446808510639,3.16,9,45
815.809,114.0,8.693333333333333,8.170212765957446,3.16,9,45
816.262,105.0,9.333333333333332,8.808510638297872,3.43,9,45
816.715,101.0,9.546666666666667,8.936170212765957,3.6,9,45
817.168,94.0,9.973333333333333,9.53191489361702,3.87,9,45
817.621,90.0,10.4,10.085106382978724,4.39,9,45
818.073,88.0,10.4,10.127659574468085,4.31,9,45
818.527,81.0,11.04,10.574468085106384,4.66,9,45
818.98,77.0,11.253333333333334,10.808510638297872,4.92,9,45
819.432,72.0,11.466666666666667,11.170212765957446,5.45,9,45
819.885,69.0,11.68,11.680851063829786,5.8,9,45
820.339,69.0,11.68,11.553191489361701,5.62,9,45
820.792,66.0,11.893333333333334,11.595744680851064,5.54,9,45
821.244,64.0,12.106666666666667,11.851063829787234,5.89,9,45
821.697,62.0,12.32,11.957446808510639,5.98,9,45
822.15,62.0,12.32,12.063829787234042,6.06,9,45
822.603,58.0,12.533333333333333,12.191489361702128,6.24,9,45
823.055,58.0,12.533333333333333,12.51063829787234,6.59,9,45
823.508,58.0,12.533333333333333,12.46808510638298,6.5,9,45
823.961,57.0,12.533333333333333,12.46808510638298,6.33,10,135
824.414,57.0,12.533333333333333,12.361702127659575,6.33,10,135
824.866,57.0,12.533333333333333,12.553191489361701,6.33,10,135
825.32,57.0,12.533333333333333,12.425531914893618,6.33,10,135
825.773,57.0,12.533333333333333,12.46808510638298,6.33,10,135
826.225,57.0,12.533333333333333,12.48936170212766,6.24,10,135
826.678,57.0,12.533333333333333,12.51063829787234,6.24,10,135
827.13,57.0,12.533333333333333,12.53191489361702,6.24,10,135
827.583,57.0,12.533333333333333,12.51063829787234,6.24,10,135
828.035,57.0,12.533333333333333,12.48936170212766,6.24,10,135
828.489,57.0,12.533333333333333,12.382978723404255,6.33,10,135
828.941,57.0,12.533333333333333,12.46808510638298,6.33,10,135
829.394,57.0,12.533333333333333,12.48936170212766,6.15,10,135
829.847,57.0,12.533333333333333,12.46808510638298,6.24,10,135
830.3,57.0,12.533333333333333,12.46808510638298,6.06,10,135
830.752,57.0,12.533333333333333,12.48936170212766,6.15,10,135
831.205,57.0,12.533333333333333,12.553191489361701,6.06,10,135
831.658,57.0,12.533333333333333,12.553191489361701,6.15,10,135
832.111,57.0,12.533333333333333,12.51063829787234,6.15,10,135
832.563,57.0,12.533333333333333,12.446808510638299,6.24,10,135
833.017,57.0,12.533333333333333,12.425531914893618,6.06,10,135
833.469,57.0,12.533333333333333,12.404255319148936,6.06,10,135
833.922,57.0,12.533333333333333,12.46808510638298,6.06,10,135
834.374,57.0,12.533333333333333,12.425531914893618,6.06,10,135
834.828,57.0,12.533333333333333,12.446808510638299,6.06,10,135
835.28,57.0,12.533333333333333,12.46808510638298,6.24,10,135
835.733,53.0,12.96,12.297872340425531,6.06,10,135
836.186,54.0,12.746666666666666,12.617021276595745,6.24,10,135
836.639,57.0,12.533333333333333,12.659574468085108,6.33,10,135
837.091,66.0,11.893333333333334,12.106382978723405,5.54,10,135
837.544,67.0,11.893333333333334,11.76595744680851,5.01,10,135
837.997,68.0,11.893333333333334,11.702127659574469,5.19,10,135
838.45,72.0,11.466666666666667,11.74468085106383,5.19,10,135
838.902,76.0,11.253333333333334,11.27659574468085,4.66,10,135
839.356,82.0,10.826666666666668,10.893617021276595,4.31,10,135
839.809,91.0,10.186666666666667,10.319148936170214,3.96,10,135
840.261,95.0,9.973333333333333,10.170212765957446,3.96,10,135
840.714,101.0,9.546666666666667,9.76595744680851,3.69,10,135
841.167,104.0,9.333333333333332,9.340425531914894,3.6,10,135
841.621,111.0,8.906666666666666,8.872340425531915,3.25,10,135
842.073,114.0,8.693333333333333,8.936170212765957,3.25,10,135
842.526,114.0,8.693333333333333,8.553191489361701,3.16,10,135
842.979,119.0,8.266666666666666,8.0,2.9,10,135
843.432,123.0,8.053333333333335,8.085106382978724,2.9,10,135
843.885,129.0,7.626666666666667,7.340425531914894,2.46,10,135
844.337,132.0,7.413333333333334,7.48936170212766,2.55,10,135
844.791,135.0,7.2,7.085106382978724,2.2,11,120
845.244,135.0,7.2,7.0212765957446805,2.2,11,120
845.696,135.0,7.2,6.957446808510639,2.29,11,120
846.149,135.0,7.2,6.9787234042553195,2.2,11,120
846.602,134.0,7.2,7.0,2.2,11,120
847.055,125.0,7.84,7.404255319148936,2.64,11,120
847.508,125.0,7.84,7.468085106382979,2.64,11,120
847.96,121.0,8.053333333333335,7.702127659574469,2.9,11,120
848.414,118.0,8.266666666666666,7.8936170212765955,2.99,11,120
848.867,118.0,8.266666666666666,7.829787234042554,2.99,12,150
849.319,118.0,8.266666666666666,8.106382978723405,2.9,12,150
849.772,118.0,8.266666666666666,8.085106382978724,2.9,12,150
850.225,119.0,8.266666666666666,8.063829787234043,2.9,12,150
850.679,120.0,8.266666666666666,8.148936170212766,2.9,12,150
851.131,124.0,7.84,8.042553191489361,2.9,12,150
851.584,128.0,7.626666666666667,7.680851063829786,2.64,12,150
852.037,134.0,7.2,7.404255319148936,2.46,12,150
852.49,140.0,6.773333333333333,7.0,2.11,12,150
852.943,142.0,6.5600000000000005,6.553191489361701,1.76,12,150
853.395,149.0,6.133333333333333,6.276595744680851,1.67,12,150
853.849,149.0,6.133333333333333,6.148936170212766,1.41,13,45
854.302,149.0,6.133333333333333,6.1063829787234045,1.41,13,45
854.755,149.0,6.133333333333333,6.1914893617021285,1.32,13,45
855.207,149.0,6.133333333333333,6.1063829787234045,1.32,13,45
855.66,148.0,6.346666666666667,6.085106382978724,1.41,13,45
856.113,147.0,6.346666666666667,6.063829787234043,1.41,13,45
856.566,141.0,6.773333333333333,6.361702127659575,1.58,13,45
857.018,139.0,6.773333333333333,6.425531914893616,1.76,13,45
857.471,135.0,7.2,6.936170212765957,2.02,13,45
857.925,128.0,7.626666666666667,7.319148936170214,2.37,13,45
858.377,122.0,8.053333333333335,7.638297872340425,2.81,13,45
858.83,116.0,8.48,8.063829787234043,2.9,13,45
859.283,112.0,8.693333333333333,8.085106382978724,3.08,13,45
859.737,108.0,9.120000000000001,8.659574468085106,3.43,13,45
860.189,103.0,9.333333333333332,8.702127659574469,3.52,13,45
860.642,100.0,9.546666666666667,9.27659574468085,3.6,13,45
861.095,97.0,9.76,9.191489361702128,3.52,13,45
861.549,97.0,9.76,9.53191489361702,3.69,13,45
862.001,94.0,9.973333333333333,9.425531914893616,3.69,13,45
862.454,94.0,9.973333333333333,9.638297872340425,3.87,13,45
862.907,93.0,10.186666666666667,9.829787234042554,3.87,13,45
863.36,90.0,10.4,10.02127659574468,3.96,13,45
863.813,86.0,10.613333333333333,10.170212765957446,4.39,13,45
864.265,80.0,11.04,10.595744680851064,4.75,13,45
864.719,73.0,11.466666666666667,10.957446808510639,5.27,13,45
865.172,67.0,11.893333333333334,11.659574468085106,5.71,13,45
865.624,60.0,12.32,11.446808510638299,5.71,13,45
866.077,56.0,12.746666666666666,12.085106382978722,6.06,13,45
866.53,54.0,12.746666666666666,12.340425531914892,6.5,13,45
866.983,45.0,13.386666666666667,12.97872340425532,7.12,13,45
867.435,45.0,13.386666666666667,13.063829787234042,7.38,14,180
867.888,45.0,13.386666666666667,13.23404255319149,7.56,14,180
868.34,45.0,13.386666666666667,13.23404255319149,7.38,14,180
868.793,46.0,13.386666666666667,13.319148936170212,7.38,14,180
869.246,49.0,13.173333333333334,13.212765957446809,7.29,14,180
869.698,52.0,12.96,13.02127659574468,6.33,14,180
870.151,61.0,12.32,12.574468085106382,5.89,14,180
870.603,65.0,12.106666666666667,12.042553191489361,5.45,14,180
871.056,74.0,11.466666666666667,11.702127659574469,5.01,14,180
871.509,78.0,11.253333333333334,11.382978723404255,4.75,14,180
871.961,84.0,10.826666666666668,11.042553191489361,4.48,14,180
872.415,85.0,10.613333333333333,10.638297872340425,4.22,14,180
872.868,92.0,10.186666666666667,10.25531914893617,3.96,14,180
873.32,97.0,9.76,9.702127659574469,3.69,14,180
873.773,101.0,9.546666666666667,9.702127659574469,3.69,14,180
874.226,106.0,9.120000000000001,9.319148936170214,3.52,14,180
874.678,110.0,8.906666666666666,8.957446808510639,3.25,14,180
875.131,113.0,8.693333333333333,8.659574468085106,3.16,14,180
875.584,118.0,8.266666666666666,8.574468085106384,2.99,14,180
876.037,124.0,7.84,8.02127659574468,2.72,14,180
876.489,131.0,7.413333333333334,7.361702127659575,2.46,14,180
876.942,135.0,7.2,7.148936170212766,2.29,14,180
877.395,138.0,6.986666666666666,6.8936170212765955,2.11,14,180
877.848,142.0,6.5600000000000005,6.446808510638299,1.49,14,180
878.3,149.0,6.133333333333333,6.1063829787234045,1.41,14,180
878.754,158.0,5.493333333333333,5.723404255319149,1.05,14,180
879.207,162.0,5.28,5.446808510638299,0.88,14,180
879.659,164.0,5.066666666666666,5.0212765957446805,0.53,14,180
880.112,167.0,4.8533333333333335,5.0,0.44,14,180
880.565,169.0,4.8533333333333335,4.8936170212765955,0.53,14,180
881.018,176.0,4.213333333333333,4.25531914893617,0.26,14,180
881.471,178.0,4.213333333333333,4.1914893617021285,0.26,14,180
881.924,180.0,4.0,3.9361702127659584,0.09,14,180
882.376,180.0,4.0,3.957446808510639,0.18,15,75
882.83,180.0,4.0,3.957446808510639,0.09,15,75
883.282,180.0,4.0,3.957446808510639,0.09,15,75
883.735,179.0,4.0,3.9787234042553195,0.09,15,75
884.188,175.0,4.426666666666667,3.9361702127659584,0.09,15,75
884.641,173.0,4.426666666666667,4.319148936170214,0.35,15,75
885.094,167.0,4.8533333333333335,4.25531914893617,0.35,15,75
885.546,161.0,5.28,4.914893617021276,0.62,15,75
885.999,156.0,5.706666666666667,5.468085106382979,0.88,15,75
886.452,152.0,5.92,5.76595744680851,1.05,15,75
886.905,145.0,6.5600000000000005,6.276595744680851,1.32,15,75
887.357,141.0,6.773333333333333,6.1914893617021285,1.41,15,75
887.811,138.0,6.986666666666666,6.595744680851064,1.85,15,75
888.264,135.0,7.2,6.76595744680851,1.85,15,75
888.716,129.0,7.626666666666667,7.382978723404255,2.37,15,75
889.169,124.0,7.84,7.340425531914894,2.37,15,75
889.622,120.0,8.266666666666666,7.659574468085106,2.64,15,75
890.075,114.0,8.693333333333333,8.23404255319149,2.9,15,75
890.528,110.0,8.906666666666666,8.553191489361701,3.25,15,75
890.98,106.0,9.120000000000001,8.680851063829786,3.34,15,75
891.434,99.0,9.76,8.936170212765957,3.52,15,75
891.887,95.0,9.973333333333333,9.553191489361701,3.78,15,75
892.339,93.0,10.186666666666667,9.53191489361702,3.87,15,75
892.792,90.0,10.4,10.02127659574468,4.22,15,75
893.245,86.0,10.613333333333333,10.148936170212766,4.13,15,75
893.698,82.0,10.826666666666668,10.574468085106384,4.66,15,75
894.15,79.0,11.04,10.74468085106383,4.66,15,75
894.604,75.0,11.466666666666667,10.808510638297872,5.01,15,75
895.056,75.0,11.466666666666667,11.170212765957446,5.01,16,90
895.509,75.0,11.466666666666667,11.042553191489361,5.01,16,90
895.961,75.0,11.466666666666667,11.297872340425531,5.19,16,90
896.414,75.0,11.466666666666667,11.382978723404255,5.27,16,90
896.867,76.0,11.253333333333334,11.23404255319149,5.01,16,90
897.319,78.0,11.253333333333334,11.191489361702128,4.92,16,90
897.773,82.0,10.826666666666668,10.936170212765957,4.75,16,90
898.226,86.0,10.613333333333333,10.51063829787234,4.48,16,90
898.678,87.0,10.613333333333333,10.46808510638298,4.22,16,90
899.131,88.0,10.4,10.446808510638299,4.04,16,90
899.584,88.0,10.4,10.46808510638298,4.13,16,90
900.037,89.0,10.4,10.404255319148936,4.13,16,90
900.489,90.0,10.4,10.51063829787234,4.13,17,60
900.943,90.0,10.4,10.446808510638299,4.13,17,60
901.395,90.0,10.4,10.51063829787234,4.22,17,60
901.848,90.0,10.4,10.425531914893616,4.22,17,60
902.3,90.0,10.4,10.46808510638298,4.22,17,60
902.754,90.0,10.4,10.446808510638299,4.22,17,60
903.206,87.0,10.613333333333333,10.51063829787234,4.13,17,60
903.659,87.0,10.613333333333333,10.446808510638299,4.13,17,60
904.112,84.0,10.826666666666668,10.340425531914894,4.13,17,60
904.565,77.0,11.253333333333334,10.893617021276595,4.66,17,60
905.017,75.0,11.466666666666667,10.76595744680851,4.75,17,60
905.47,71.0,11.68,11.297872340425531,5.1,17,60
905.923,65.0,12.106666666666667,11.553191489361701,5.45,17,60
906.376,62.0,12.32,11.787234042553191,5.8,17,60
906.828,59.0,12.533333333333333,11.97872340425532,5.8,17,60
907.282,59.0,12.533333333333333,12.297872340425531,6.06,18,105
907.734,59.0,12.533333333333333,12.340425531914892,5.98,18,105
908.187,59.0,12.533333333333333,12.382978723404255,6.06,18,105
908.64,59.0,12.533333333333333,12.404255319148936,6.06,18,105
