time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
124208,0.00,-0.19,250.83,0,3,0
124264,0.00,-0.19,250.84,0,3,0
124320,0.00,-0.19,250.85,0,3,0
124376,0.00,-0.19,250.88,0,4,0
124432,0.00,-0.18,250.90,0,3,0
124488,0.00,-0.18,250.94,0,3,0
124544,0.00,-0.18,250.98,0,4,0
124599,0.00,-0.17,251.03,0,4,0
124655,0.00,-0.17,251.08,0,4,0
124711,0.00,-0.16,251.14,0,3,0
124767,0.00,-0.16,251.19,0,3,0
124823,0.00,-0.16,251.23,0,3,0
124879,0.00,-0.15,251.26,0,3,0
124935,0.00,-0.15,251.29,0,4,0
124991,0.00,-0.15,251.30,0,3,0
125047,0.00,-0.15,251.31,0,4,0
125103,0.00,-0.15,251.30,0,3,0
125158,0.00,-0.15,251.29,0,4,0
125214,0.00,-0.15,251.27,0,3,0
125270,0.00,-0.16,251.23,0,4,0
125326,0.00,-0.16,251.19,0,3,0
125382,0.00,-0.16,251.14,0,4,0
125438,0.00,-0.17,251.09,0,3,0
125494,0.00,-0.17,251.03,0,3,0
125550,0.00,-0.18,250.97,0,3,0
125606,0.00,-0.18,250.90,0,4,0
125662,0.00,-0.19,250.83,0,3,0
125717,0.00,-0.20,250.76,0,3,0
125773,0.00,-0.20,250.69,0,3,0
125829,0.00,-0.21,250.62,0,3,0
125885,0.00,-0.22,250.55,0,3,0
125941,0.00,-0.22,250.47,0,3,0
125997,0.00,-0.23,250.39,0,4,0
126053,0.00,-0.24,250.30,0,4,0
126109,0.00,-0.25,250.19,0,4,0
126165,0.00,-0.26,250.08,1,4,0
126221,0.00,-0.27,249.96,2,3,0
126277,0.00,-0.28,249.83,4,4,0
126332,0.00,-0.29,249.71,5,4,0
126388,0.00,-0.30,249.59,6,4,0
126444,0.00,-0.31,249.49,8,3,0
126500,0.00,-0.32,249.39,9,4,0
126556,0.00,-0.33,249.29,11,3,0
126612,0.00,-0.33,249.21,12,4,0
126668,0.00,-0.34,249.12,14,4,0
126724,0.00,-0.35,249.03,15,8,0
126780,0.00,-0.36,248.94,17,12,0
126836,0.00,-0.36,248.85,19,12,0
126892,0.00,-0.37,248.76,20,12,0
126948,0.00,-0.38,248.69,22,13,0
127004,0.00,-0.38,248.63,23,16,0
127060,0.00,-0.39,248.58,25,16,0
127116,0.00,-0.39,248.56,26,20,0
127172,0.00,-0.39,248.55,27,21,0
127228,0.00,-0.39,248.56,29,21,0
127284,0.00,-0.39,248.60,30,20,0
127340,0.00,-0.38,248.64,31,22,0
127396,0.00,-0.38,248.70,32,28,0
127452,0.00,-0.37,248.78,34,29,0
127508,0.00,-0.36,248.87,35,28,0
127564,0.00,-0.35,248.98,36,28,0
127620,0.00,-0.34,249.12,36,28,0
127676,0.00,-0.33,249.27,37,33,0
127732,0.00,-0.31,249.44,38,33,0
127788,0.00,-0.30,249.63,38,33,0
127844,0.00,-0.28,249.84,39,33,0
127900,0.00,-0.26,250.05,39,33,0
127956,0.00,-0.24,250.27,40,33,0
128012,0.00,-0.22,250.50,40,33,0
128068,0.00,-0.20,250.73,41,33,0
128124,0.00,-0.18,250.96,41,33,0
128180,0.00,-0.16,251.19,41,38,0
128236,0.00,-0.14,251.41,42,40,0
128292,0.00,-0.12,251.62,42,40,0
128348,0.00,-0.10,251.82,42,40,0
128404,0.00,-0.09,252.01,43,40,0
128460,0.00,-0.07,252.19,43,40,0
128516,0.00,-0.06,252.35,43,40,0
128572,0.00,-0.04,252.50,43,40,0
128628,0.00,-0.03,252.65,43,40,0
128684,0.00,-0.02,252.79,43,40,0
128740,0.00,-0.00,252.93,43,40,0
128796,0.00,0.00,253.07,43,40,0
128852,0.00,0.02,253.21,42,40,0
128908,0.00,0.03,253.35,42,40,0
128964,0.00,0.04,253.49,42,40,0
129020,0.00,0.06,253.64,41,39,0
129076,0.00,0.07,253.78,40,40,0
129132,0.00,0.08,253.93,40,40,0
129188,0.00,0.09,254.07,39,40,0
129244,0.00,0.11,254.22,38,40,0
129300,0.00,0.12,254.36,38,40,0
129356,0.00,0.13,254.50,37,40,0
129412,0.00,0.14,254.64,36,40,0
129468,0.00,0.16,254.76,36,40,0
129524,0.00,0.17,254.88,35,40,0
129580,0.00,0.17,254.99,34,39,0
129636,0.00,0.18,255.08,33,40,0
129692,0.00,0.19,255.17,33,40,0
129748,0.00,0.20,255.24,32,40,0
129804,0.00,0.20,255.30,31,40,0
129859,0.00,0.21,255.34,31,33,0
129915,0.00,0.21,255.37,30,33,0
129971,0.00,0.21,255.37,30,33,0
130027,0.00,0.21,255.35,29,33,0
130083,0.00,0.20,255.31,29,33,0
130139,0.00,0.20,255.26,28,33,0
130195,0.00,0.19,255.21,28,33,0
130251,0.00,0.19,255.14,27,33,0
130307,0.00,0.18,255.08,26,33,0
130363,0.00,0.18,255.01,26,33,0
130419,0.00,0.17,254.94,25,33,0
130475,0.00,0.17,254.88,25,33,0
130531,0.00,0.16,254.81,24,29,0
130587,0.00,0.15,254.75,23,31,0
