time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
39278,0.00,0.00,0.00,0,5
39308,0.00,0.00,0.00,0,5
39338,0.00,0.00,0.00,0,5,0
39367,0.00,0.00,0.00,0,5
39397,0.00,0.00,0.00,0,5,0
39427,0.00,0.00,0.00,0,5
39457,0.00,0.00,0.00,0,5,0
39486,0.00,0.00,0.00,0,5
39516,0.00,0.00,0.00,0,3
39546,0.00,0.00,0.00,0,5
39575,0.00,0.00,0.00,0,5
39605,0.00,0.00,0.00,0,5
39635,0.00,0.00,0.00,0,5
39665,0.00,0.00,0.00,0,5
39694,0.00,0.00,0.00,0,5
39724,0.00,0.00,0.00,0,5
39754,0.00,0.00,0.00,0,5
39783,0.00,0.00,0.00,0,5
39813,0.00,0.00,0.00,0,5
39843,0.00,0.00,0.00,0,5
39873,0.00,0.00,0.00,0,5
39902,0.00,0.00,0.00,0,5
39932,0.00,0.00,0.00,0,5
39962,0.00,0.00,0.00,0,3,0
39992,0.00,0.00,0.00,0,5
40021,0.00,0.00,0.00,0,5,0
40051,0.00,0.00,0.00,0,5
40081,0.00,0.00,0.00,0,5,0
40111,0.00,0.00,0.00,0,3
40140,0.00,0.00,0.00,0,5
40170,0.00,0.00,0.00,0,5
40200,0.00,0.00,0.00,0,5
40229,0.00,0.00,0.00,0,5
40259,0.00,0.00,0.00,0,5
40289,0.00,0.00,0.00,0,6
40319,0.00,0.00,0.00,0,5
40348,0.00,0.00,0.00,0,5
40378,0.00,0.00,0.00,0,6
40408,0.00,0.00,0.00,0,5
40437,0.00,0.00,0.00,0,5
40467,0.00,0.00,0.00,0,5
40497,0.00,0.00,0.00,0,5
40527,0.00,0.00,0.00,0,5,0
40556,0.00,0.00,0.00,0,5
40586,0.00,0.00,0.00,0,5,0
40616,0.00,0.00,0.00,0,3
40646,0.00,0.00,0.00,0,5
40675,0.00,0.00,0.00,0,5
40705,0.00,0.00,0.00,0,3,0
40735,0.00,0.00,0.00,0,5
40764,0.00,0.00,0.00,0,5
40794,0.00,0.00,0.00,0,5
40824,0.00,0.00,0.00,0,5
40854,0.00,0.00,0.00,0,5
40883,0.00,0.00,0.00,0,3
40913,0.00,0.00,0.00,0,5
40943,0.00,0.00,0.00,0,5
40973,0.00,0.00,0.00,0,5
41002,0.00,0.00,0.00,0,5
41032,0.00,0.00,0.00,0,5
41062,0.00,0.00,0.00,0,5
41091,0.00,0.00,0.00,0,5
41121,0.00,0.00,0.00,0,5
41151,0.00,0.00,0.00,0,5,0
41181,0.00,0.00,0.00,0,5
41210,0.00,0.00,0.00,0,5,0
41240,0.00,0.00,0.00,0,5
41270,0.00,0.00,0.00,0,5,0
41300,0.00,0.00,0.00,0,5
41329,0.00,0.00,0.00,0,3,0
41359,0.00,0.00,0.00,0,5
41389,0.00,0.00,0.00,0,5
41418,0.00,0.00,0.00,0,5
41448,0.00,0.00,0.00,0,5
41478,0.00,0.00,0.00,0,5
41508,0.00,0.00,0.00,0,5
41537,0.00,0.00,0.00,0,5
41567,0.00,0.00,0.00,0,5
41597,0.00,0.00,0.00,0,5
41627,0.00,0.00,0.00,0,5
41656,0.00,0.00,0.00,0,5
41686,0.00,0.00,0.00,0,5
41716,0.00,0.00,0.00,0,5
41745,0.00,0.00,0.00,0,5
41775,0.00,0.00,0.00,0,5,0
41805,0.00,0.00,0.00,0,5
41835,0.00,0.00,0.00,0,5,0
41864,0.00,0.00,0.00,0,3
41894,0.00,0.00,0.00,0,6,0
41924,0.00,0.00,0.00,0,5
41954,0.00,0.00,0.00,0,5,0
41983,0.00,0.00,0.00,0,5
42013,0.00,0.00,0.00,0,5
42043,0.00,0.00,0.00,0,5
42072,0.00,0.00,0.00,0,5
42102,0.00,0.00,0.00,0,5
42132,0.00,0.00,0.00,0,5
42162,0.00,0.00,0.00,0,5
42191,0.00,0.00,0.00,0,5
42221,0.00,0.00,0.00,0,5
42251,0.00,0.00,0.00,0,5
42281,0.00,0.00,0.00,0,5
42310,0.00,0.00,0.00,0,5
42340,0.00,0.00,0.00,0,5
42370,0.00,0.00,0.00,0,5
42399,0.00,0.00,0.00,0,5,0
