t1,t2,command,force,position
55026714,55026714,57,-1,899
55034714,55034714,57,-1,896
55042712,55042713,57,-1,896
55050718,55050718,57,-1,898
55058714,55058714,57,-1,894
55066714,55066714,57,-1,895
55074714,55074714,57,-1,895
55082712,55082713,57,-1,894
55090718,55090718,57,-1,895
55098714,55098714,57,-1,896
55106714,55106714,57,-1,894
55114714,55114714,57,-1,894
55122713,55122713,57,-1,899
55130717,55130718,57,-1,890
55138714,55138714,57,-1,892
55146714,55146715,57,-1,896
55154714,55154714,57,-1,894
55162712,55162713,57,-1,895
55170718,55170718,57,-1,896
55178714,55178714,57,-1,890
55186714,55186714,57,-1,901
55194714,55194714,57,-1,896
55202712,55202713,57,-1,894
55210718,55210718,57,-1,894
55218714,55218714,57,-1,893
55226714,55226715,57,-1,894
55234713,55234714,57,-1,897
55242712,55242713,57,-1,896
55250718,55250718,57,-1,895
55258714,55258714,57,-1,894
55266714,55266714,57,-1,895
55274713,55274714,57,-1,895
55282712,55282713,57,-1,896
55290717,55290718,57,-1,892
55298714,55298714,57,-1,894
55306714,55306714,57,-1,902
55314714,55314714,57,-1,894
55322713,55322713,57,-1,895
55330718,55330718,57,-1,897
55338713,55338714,57,-1,899
55346714,55346714,57,-1,898
55354714,55354714,57,-1,898
55362712,55362713,57,-1,906
55370718,55370718,57,-1,897
55378714,55378714,57,-1,895
55386714,55386714,57,-1,892
55394713,55394714,57,-1,896
55402712,55402713,57,-1,896
55410718,55410718,57,-1,895
55418714,55418714,57,-1,899
55426714,55426714,57,-1,896
55434714,55434714,57,-1,900
55442712,55442713,57,-1,900
55450718,55450718,57,-1,898
55458713,55458714,57,-1,896
55466714,55466714,57,-1,898
55474713,55474714,57,-1,895
55482712,55482713,57,-1,894
55490718,55490718,57,-1,891
55498714,55498714,57,-1,895
55506714,55506714,57,-1,895
55514714,55514714,57,-1,893
55522713,55522713,57,-1,896
55530718,55530718,57,-1,894
55538714,55538715,57,-1,895
55546714,55546714,57,-1,897
55554714,55554714,57,-1,895
55562712,55562713,57,-1,898
55570718,55570718,57,-1,897
55578714,55578714,57,-1,894
55586714,55586714,57,-1,895
55594713,55594714,57,-1,889
55602712,55602713,57,-1,894
55610718,55610719,57,-1,895
55618714,55618714,57,-1,896
55626714,55626714,57,-1,894
55634714,55634714,57,-1,896
55642712,55642713,57,-1,897
55650718,55650718,57,-1,895
55658713,55658714,57,-1,896
55666714,55666714,57,-1,896
55674714,55674714,57,-1,898
55682712,55682713,57,-1,895
55690718,55690718,57,-1,895
55698714,55698714,57,-1,900
55706714,55706714,57,-1,894
55714714,55714714,57,-1,895
55722712,55722713,57,-1,892
55730718,55730718,57,-1,893
55738714,55738714,57,-1,895
55746714,55746714,57,-1,895
55754714,55754714,57,-1,896
55762712,55762713,57,-1,895
55770718,55770718,57,-1,896
55778714,55778714,57,-1,894
55786714,55786714,57,-1,897
55794714,55794714,57,-1,893
55802712,55802713,57,-1,897
55810718,55810718,57,-1,896
55818714,55818714,57,-1,896
55826714,55826714,57,-1,893
55834714,55834715,57,-1,896
55842712,55842713,57,-1,895
55850718,55850718,57,-1,896
55858714,55858714,57,-1,893
55866714,55866714,57,-1,897
55874713,55874714,57,-1,891
55882712,55882713,57,-1,897
55890718,55890718,57,-1,897
55898714,55898714,57,-1,896
55906714,55906714,57,-1,894
55914714,55914714,57,-1,895
55922713,55922713,57,-1,900
55930718,55930718,57,-1,896
55938714,55938714,57,-1,896
55946714,55946714,57,-1,897
55954714,55954714,57,-1,893
55962712,55962713,57,-1,894
55970718,55970718,57,-1,895
55978714,55978715,57,-1,895
55986714,55986715,57,-1,893
55994714,55994714,57,-1,896
56002712,56002713,57,-1,898
56010718,56010718,57,-1,895
56018714,56018714,57,-1,896
56026713,56026714,57,-1,895
56034714,56034715,57,-1,905
56042712,56042713,57,-1,895
56050718,56050718,57,-1,894
56058714,56058714,57,-1,895
56066714,56066714,57,-1,894
56074714,56074714,57,-1,895
56082712,56082713,57,-1,894
56090718,56090718,57,-1,893
56098714,56098714,57,-1,893
56106714,56106715,57,-1,896
56114714,56114714,57,-1,894
56122713,56122713,57,-1,896
56130718,56130718,57,-1,893
