,time,flex sensor,"actuator position, command","actuator position, measured",force,"""Trial Number""","""Target Angle""",newForce
596,1612.665,106.0,8.053333333333335,3.91545574636724,-22.94,0.0,150.0,-0.5278906250000013
597,1613.1170000000002,106.0,8.053333333333335,3.957727873183618,-23.12,0.0,150.0,-0.707890625000001
598,1613.57,106.0,8.053333333333335,3.957727873183618,-23.2,0.0,150.0,-0.7878906249999993
599,1614.023,106.0,8.053333333333335,4.063408190224571,-22.94,0.0,150.0,-0.5278906250000013
600,1614.476,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
601,1614.9289999999999,106.0,8.053333333333335,3.8943196829590505,-22.94,0.0,150.0,-0.5278906250000013
602,1615.382,106.0,8.053333333333335,4.0,-22.94,0.0,150.0,-0.5278906250000013
603,1615.8339999999998,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
604,1616.287,106.0,8.053333333333335,3.957727873183618,-23.12,0.0,150.0,-0.707890625000001
605,1616.74,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
606,1617.192,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
607,1617.645,106.0,8.053333333333335,3.936591809775429,-23.12,0.0,150.0,-0.707890625000001
608,1618.098,106.0,8.053333333333335,3.9788639365918113,-23.2,0.0,150.0,-0.7878906249999993
609,1618.55,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
610,1619.003,106.0,8.053333333333335,4.0,-23.2,0.0,150.0,-0.7878906249999993
611,1619.457,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
612,1619.9089999999999,106.0,8.053333333333335,4.105680317040951,-23.2,0.0,150.0,-0.7878906249999993
613,1620.362,106.0,8.053333333333335,3.9788639365918113,-23.2,0.0,150.0,-0.7878906249999993
614,1620.8139999999999,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
615,1621.2679999999998,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
616,1621.72,106.0,8.053333333333335,3.8943196829590505,-23.2,0.0,150.0,-0.7878906249999993
617,1622.1729999999998,106.0,8.053333333333335,3.9788639365918113,-23.2,0.0,150.0,-0.7878906249999993
618,1622.626,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
619,1623.079,106.0,8.053333333333335,4.04227212681638,-23.2,0.0,150.0,-0.7878906249999993
620,1623.531,106.0,8.053333333333335,4.0,-23.2,0.0,150.0,-0.7878906249999993
621,1623.984,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
622,1624.4370000000001,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
623,1624.89,106.0,8.053333333333335,3.936591809775429,-22.94,0.0,150.0,-0.5278906250000013
624,1625.342,106.0,8.053333333333335,3.936591809775429,-23.12,0.0,150.0,-0.707890625000001
625,1625.796,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
626,1626.2479999999998,106.0,8.053333333333335,3.957727873183618,-23.12,0.0,150.0,-0.707890625000001
627,1626.701,106.0,8.053333333333335,3.936591809775429,-23.2,0.0,150.0,-0.7878906249999993
628,1627.154,106.0,8.053333333333335,3.957727873183618,-23.2,0.0,150.0,-0.7878906249999993
629,1627.6070000000002,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
630,1628.06,106.0,8.053333333333335,3.957727873183618,-23.2,0.0,150.0,-0.7878906249999993
631,1628.5120000000002,106.0,8.053333333333335,3.91545574636724,-23.2,0.0,150.0,-0.7878906249999993
632,1628.9660000000001,106.0,8.053333333333335,3.8943196829590505,-23.2,0.0,150.0,-0.7878906249999993
633,1629.418,106.0,8.053333333333335,3.936591809775429,-23.2,0.0,150.0,-0.7878906249999993
634,1629.871,106.0,8.053333333333335,3.936591809775429,-23.12,0.0,150.0,-0.707890625000001
635,1630.3229999999999,106.0,8.053333333333335,3.957727873183618,-23.03,0.0,150.0,-0.6178906250000011
636,1630.777,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
637,1631.229,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
638,1631.682,106.0,8.053333333333335,3.936591809775429,-22.94,0.0,150.0,-0.5278906250000013
639,1632.135,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
640,1632.588,106.0,8.053333333333335,4.04227212681638,-22.94,0.0,150.0,-0.5278906250000013
641,1633.04,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
642,1633.493,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
643,1633.9460000000001,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
644,1634.398,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
645,1634.851,106.0,8.053333333333335,4.0,-22.94,0.0,150.0,-0.5278906250000013
646,1635.3039999999999,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
647,1635.756,106.0,8.053333333333335,3.957727873183618,-22.94,0.0,150.0,-0.5278906250000013
648,1636.2089999999998,106.0,8.053333333333335,4.021136063408191,-22.85,0.0,150.0,-0.4378906250000014
649,1636.662,106.0,8.053333333333335,4.04227212681638,-22.85,0.0,150.0,-0.4378906250000014
650,1637.114,106.0,8.053333333333335,3.957727873183618,-22.85,0.0,150.0,-0.4378906250000014
651,1637.567,106.0,8.053333333333335,3.9788639365918113,-22.85,0.0,150.0,-0.4378906250000014
652,1638.021,106.0,8.053333333333335,3.957727873183618,-22.85,0.0,150.0,-0.4378906250000014
653,1638.473,106.0,8.053333333333335,4.04227212681638,-22.94,0.0,150.0,-0.5278906250000013
654,1638.9260000000002,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
655,1639.378,106.0,8.053333333333335,4.04227212681638,-22.94,0.0,150.0,-0.5278906250000013
656,1639.832,106.0,8.053333333333335,3.91545574636724,-22.94,0.0,150.0,-0.5278906250000013
657,1640.2839999999999,106.0,8.053333333333335,3.936591809775429,-23.2,0.0,150.0,-0.7878906249999993
658,1640.737,106.0,8.053333333333335,3.936591809775429,-23.2,0.0,150.0,-0.7878906249999993
659,1641.191,106.0,8.053333333333335,4.0,-22.94,0.0,150.0,-0.5278906250000013
660,1641.6429999999998,106.0,8.053333333333335,3.9788639365918113,-22.94,0.0,150.0,-0.5278906250000013
661,1642.096,106.0,8.053333333333335,4.021136063408191,-22.94,0.0,150.0,-0.5278906250000013
662,1642.5479999999998,106.0,8.053333333333335,3.936591809775429,-23.2,0.0,150.0,-0.7878906249999993
663,1643.0020000000002,106.0,8.053333333333335,4.04227212681638,-23.2,0.0,150.0,-0.7878906249999993
664,1643.454,106.0,8.053333333333335,4.0,-23.2,0.0,150.0,-0.7878906249999993
665,1643.9070000000002,106.0,8.053333333333335,4.063408190224571,-23.2,0.0,150.0,-0.7878906249999993
666,1644.36,106.0,8.053333333333335,4.0,-23.2,0.0,150.0,-0.7878906249999993
667,1644.8129999999999,106.0,8.053333333333335,3.9788639365918113,-23.2,0.0,150.0,-0.7878906249999993
668,1645.265,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
669,1645.7179999999998,106.0,8.053333333333335,3.9788639365918113,-23.47,0.0,150.0,-1.0578906249999989
670,1646.171,106.0,8.053333333333335,3.8943196829590505,-23.55,0.0,150.0,-1.1378906250000007
671,1646.6229999999998,106.0,8.053333333333335,3.8943196829590505,-23.29,0.0,150.0,-0.8778906249999991
672,1647.076,106.0,8.053333333333335,3.957727873183618,-23.29,0.0,150.0,-0.8778906249999991
673,1647.529,106.0,8.053333333333335,3.936591809775429,-23.29,0.0,150.0,-0.8778906249999991
674,1647.981,106.0,8.053333333333335,3.9788639365918113,-23.55,0.0,150.0,-1.1378906250000007
675,1648.434,106.0,8.053333333333335,3.936591809775429,-23.29,0.0,150.0,-0.8778906249999991
676,1648.888,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
677,1649.34,180.0,4.0,4.0,-23.29,0.0,150.0,-0.8778906249999991
678,1649.793,180.0,4.0,3.957727873183618,-23.29,0.0,150.0,-0.8778906249999991
679,1650.246,180.0,4.0,4.04227212681638,-23.2,0.0,150.0,-0.7878906249999993
680,1650.6979999999999,180.0,4.0,3.8943196829590505,-23.38,0.0,150.0,-0.967890624999999
681,1651.151,180.0,4.0,3.8943196829590505,-23.38,0.0,150.0,-0.967890624999999
682,1651.6029999999998,180.0,4.0,3.936591809775429,-23.29,0.0,150.0,-0.8778906249999991
683,1652.057,180.0,4.0,3.8943196829590505,-23.29,0.0,150.0,-0.8778906249999991
