td,time,"flex sensor"
1.00, 17678872.00, -5.01
1.00, 17680352.00, -5.01
1.00, 17681832.00, -5.01
1.00, 17683314.00, -5.01
1.00, 17684796.00, -5.01
1.00, 17686266.00, -5.01
1.00, 17687748.00, -5.01
1.00, 17689660.00, -5.52
1.00, 17691144.00, -5.52
1.00, 17692624.00, -5.52
1.00, 17694106.00, -5.52
1.00, 17695586.00, -8.71
1.00, 17697068.00, -16.27
1.00, 17698552.00, -21.63
1.00, 17700032.00, -22.13
1.00, 17701514.00, -21.27
1.00, 17702996.00, -21.27
1.00, 17704476.00, -21.27
1.00, 17706354.00, -17.73
1.00, 17707836.00, -10.12
1.00, 17709316.00, -4.70
1.00, 17710798.00, -4.18
1.00, 17712280.00, -5.05
1.00, 17713762.00, -5.05
1.00, 17715244.00, -5.05
1.00, 17716718.00, -5.59
1.00, 17718200.00, -5.59
1.00, 17719680.00, -5.59
1.00, 17721160.00, -5.59
1.00, 17723060.00, -5.59
1.00, 17724544.00, -5.59
1.00, 17726026.00, -7.09
1.00, 17727508.00, -10.45
1.00, 17728988.00, -12.83
1.00, 17730470.00, -12.83
1.00, 17731952.00, -12.83
1.00, 17733432.00, -12.83
1.00, 17734914.00, -12.83
1.00, 17736388.00, -11.32
1.00, 17737872.00, -8.47
1.00, 17739742.00, -6.44
1.00, 17741224.00, -6.44
1.00, 17742706.00, -6.44
1.00, 17744188.00, -6.44
1.00, 17745670.00, -6.44
1.00, 17747152.00, -6.44
1.00, 17748632.00, -5.57
1.00, 17750116.00, -5.57
1.00, 17751608.00, -5.57
1.00, 17753088.00, -5.57
1.00, 17754568.00, -5.57
1.00, 17756452.00, -6.73
1.00, 17757934.00, -9.35
1.00, 17759416.00, -11.21
1.00, 17760896.00, -11.21
1.00, 17762380.00, -11.21
1.00, 17763860.00, -11.21
1.00, 17765344.00, -11.21
1.00, 17766808.00, -9.86
1.00, 17768288.00, -7.23
1.00, 17769768.00, -5.35
1.00, 17771252.00, -5.35
1.00, 17773160.00, -5.35
1.00, 17774640.00, -5.35
1.00, 17776122.00, -5.35
1.00, 17777604.00, -5.91
1.00, 17779084.00, -5.91
1.00, 17780568.00, -5.91
1.00, 17782048.00, -5.91
1.00, 17783530.00, -5.91
1.00, 17785012.00, -5.91
1.00, 17786492.00, -7.24
1.00, 17787976.00, -10.07
1.00, 17789840.00, -12.08
1.00, 17791324.00, -12.08
1.00, 17792806.00, -12.08
1.00, 17794286.00, -12.08
1.00, 17795768.00, -12.08
1.00, 17797232.00, -10.49
1.00, 17798714.00, -7.33
1.00, 17800196.00, -5.08
1.00, 17801676.00, -5.08
1.00, 17803158.00, -5.08
1.00, 17804640.00, -5.08
1.00, 17806546.00, -5.67
1.00, 17808028.00, -6.26
1.00, 17809512.00, -6.26
1.00, 17810992.00, -6.26
1.00, 17812472.00, -6.26
1.00, 17813952.00, -6.26
1.00, 17815436.00, -6.26
1.00, 17816916.00, -8.73
1.00, 17818400.00, -13.69
1.00, 17819880.00, -17.20
1.00, 17821360.00, -17.20
1.00, 17823244.00, -17.20
1.00, 17824724.00, -16.69
1.00, 17826208.00, -16.69
1.00, 17827676.00, -14.41
1.00, 17829156.00, -8.87
1.00, 17830640.00, -4.92
1.00, 17832120.00, -4.92
1.00, 17833604.00, -4.92
1.00, 17835084.00, -5.49
1.00, 17836566.00, -5.49
1.00, 17838036.00, -5.49
1.00, 17839944.00, -5.49
1.00, 17841424.00, -5.49
1.00, 17842908.00, -5.49
1.00, 17844388.00, -5.49
1.00, 17845870.00, -5.49
1.00, 17847352.00, -6.84
1.00, 17848834.00, -10.35
1.00, 17850316.00, -12.84
1.00, 17851796.00, -12.84
1.00, 17853278.00, -12.84
1.00, 17854760.00, -12.84
1.00, 17856644.00, -12.84
1.00, 17858108.00, -11.07
1.00, 17859588.00, -7.62
1.00, 17861070.00, -5.17
1.00, 17862552.00, -5.17
1.00, 17864032.00, -5.17
1.00, 17865514.00, -5.17
1.00, 17866996.00, -5.17
1.00, 17868468.00, -5.17
1.00, 17869952.00, -5.17
1.00, 17871432.00, -5.17
1.00, 17873336.00, -5.17
1.00, 17874816.00, -5.17
1.00, 17876296.00, -5.17
1.00, 17877780.00, -7.44
1.00, 17879260.00, -11.99
1.00, 17880742.00, -15.21
1.00, 17882224.00, -15.21
1.00, 17883704.00, -15.21
1.00, 17885186.00, -15.21
1.00, 17886668.00, -15.21
1.00, 17888146.00, -13.16
1.00, 17890012.00, -9.27
1.00, 17891492.00, -6.51
1.00, 17892972.00, -6.51
1.00, 17894454.00, -6.51
1.00, 17895936.00, -6.51
1.00, 17897416.00, -6.51
1.00, 17898898.00, -6.51
1.00, 17900380.00, -5.61
1.00, 17901862.00, -5.61
1.00, 17903336.00, -5.61
1.00, 17904816.00, -5.61
1.00, 17906716.00, -5.61
1.00, 17908192.00, -6.96
1.00, 17909672.00, -10.00
1.00, 17911156.00, -12.16
1.00, 17912636.00, -12.16
1.00, 17914120.00, -12.16
1.00, 17915600.00, -12.16
1.00, 17917084.00, -12.16
1.00, 17918548.00, -10.55
1.00, 17920030.00, -7.38
1.00, 17921512.00, -5.13
1.00, 17923400.00, -5.13
1.00, 17924880.00, -5.13
1.00, 17926362.00, -5.13
1.00, 17927844.00, -5.13
1.00, 17929326.00, -5.93
1.00, 17930808.00, -5.93
1.00, 17932288.00, -5.93
1.00, 17933768.00, -5.93
1.00, 17935252.00, -5.93
1.00, 17936732.00, -5.93
1.00, 17938214.00, -7.18
1.00, 17940102.00, -9.59
1.00, 17941584.00, -11.31
1.00, 17943066.00, -11.31
1.00, 17944548.00, -11.31
1.00, 17946032.00, -11.31
1.00, 17947512.00, -11.31
1.00, 17948976.00, -9.88
1.00, 17950456.00, -7.03
1.00, 17951936.00, -5.00
1.00, 17953420.00, -5.00
1.00, 17954900.00, -5.00
1.00, 17956784.00, -5.00
1.00, 17958264.00, -5.56
1.00, 17959744.00, -6.18
1.00, 17961226.00, -6.18
1.00, 17962708.00, -6.18
1.00, 17964188.00, -6.18
1.00, 17965672.00, -6.18
1.00, 17967152.00, -6.18
1.00, 17968636.00, -8.30
1.00, 17970116.00, -12.38
1.00, 17971598.00, -15.27
1.00, 17973492.00, -15.27
1.00, 17974972.00, -15.27
1.00, 17976456.00, -15.27
1.00, 17977936.00, -15.27
1.00, 17979400.00, -12.90
1.00, 17980882.00, -8.19
1.00, 17982364.00, -4.84
1.00, 17983846.00, -4.84
1.00, 17985326.00, -4.84
1.00, 17986808.00, -4.84
1.00, 17988288.00, -5.39
1.00, 17990188.00, -5.39
1.00, 17991670.00, -5.39
1.00, 17993150.00, -5.39
1.00, 17994632.00, -5.39
1.00, 17996112.00, -5.39
1.00, 17997592.00, -5.39
1.00, 17999074.00, -7.79
1.00, 18000556.00, -12.93
1.00, 18002036.00, -16.58
1.00, 18003520.00, -16.58
1.00, 18005004.00, -16.58
1.00, 18006890.00, -16.05
1.00, 18008372.00, -16.05
1.00, 18009840.00, -13.92
1.00, 18011320.00, -8.75
1.00, 18012804.00, -5.06
1.00, 18014286.00, -5.06
1.00, 18015768.00, -5.06
1.00, 18017248.00, -5.60
1.00, 18018730.00, -5.60
1.00, 18020204.00, -5.60
1.00, 18021684.00, -5.60
1.00, 18023580.00, -5.60
1.00, 18025060.00, -5.60
1.00, 18026544.00, -5.60
1.00, 18028024.00, -5.60
1.00, 18029506.00, -7.05
1.00, 18030988.00, -10.95
1.00, 18032468.00, -13.72
1.00, 18033950.00, -13.72
1.00, 18035432.00, -13.72
1.00, 18036914.00, -13.72
1.00, 18038396.00, -13.72
1.00, 18040254.00, -11.70
1.00, 18041736.00, -7.77
1.00, 18043218.00, -4.97
1.00, 18044700.00, -4.97
1.00, 18046180.00, -4.97
1.00, 18047660.00, -4.97
1.00, 18049140.00, -4.97
1.00, 18050622.00, -5.65
1.00, 18052104.00, -5.65
1.00, 18053584.00, -5.65
1.00, 18055072.00, -5.65
1.00, 18056974.00, -5.65
1.00, 18058456.00, -5.65
1.00, 18059932.00, -6.90
1.00, 18061412.00, -9.56
1.00, 18062894.00, -11.44
1.00, 18064376.00, -11.44
1.00, 18065856.00, -11.44
1.00, 18067338.00, -11.44
1.00, 18068820.00, -11.44
1.00, 18070284.00, -10.06
1.00, 18071766.00, -7.36
1.00, 18073670.00, -5.44
1.00, 18075152.00, -5.44
1.00, 18076634.00, -5.44
1.00, 18078116.00, -5.44
1.00, 18079596.00, -5.44
1.00, 18081076.00, -6.01
1.00, 18082556.00, -6.01
1.00, 18084040.00, -6.01
1.00, 18085522.00, -6.01
1.00, 18087004.00, -6.01
1.00, 18088484.00, -6.01
1.00, 18090368.00, -6.66
1.00, 18091852.00, -7.85
1.00, 18093332.00, -8.70
1.00, 18094814.00, -8.70
1.00, 18096296.00, -8.70
1.00, 18097778.00, -8.70
1.00, 18099260.00, -8.70
1.00, 18100724.00, -7.92
1.00, 18102206.00, -6.34
1.00, 18103690.00, -5.22
1.00, 18105170.00, -5.22
1.00, 18107094.00, -5.22
1.00, 18108576.00, -5.22
1.00, 18110056.00, -5.75
1.00, 18111540.00, -6.61
1.00, 18113024.00, -7.23
1.00, 18114504.00, -7.23
1.00, 18115984.00, -7.23
1.00, 18117466.00, -7.23
1.00, 18118948.00, -7.23
1.00, 18120428.00, -9.97
1.00, 18121912.00, -16.65
1.00, 18123768.00, -21.39
1.00, 18125252.00, -21.39
1.00, 18126732.00, -21.39
1.00, 18128212.00, -20.69
