,oldTime,flex sensor,"actuator position, command","actuator position, measured",force,Trial Number,Target Angle,time
2675,885.546,161.0,5.28,4.914893617021276,0.62,15.0,75.0,1374.65
2676,885.9989999999999,156.0,5.706666666666668,5.468085106382978,0.88,15.0,75.0,1375.103
2677,886.452,152.0,5.92,5.7659574468085095,1.05,15.0,75.0,1375.556
2678,886.905,145.0,6.5600000000000005,6.276595744680852,1.32,15.0,75.0,1376.009
2679,887.357,141.0,6.7733333333333325,6.1914893617021285,1.41,15.0,75.0,1376.461
2680,887.811,138.0,6.986666666666666,6.595744680851063,1.85,15.0,75.0,1376.915
2681,888.2639999999999,135.0,7.2,6.7659574468085095,1.85,15.0,75.0,1377.368
2682,888.716,129.0,7.626666666666668,7.382978723404255,2.37,15.0,75.0,1377.8200000000002
2683,889.169,124.0,7.84,7.340425531914893,2.37,15.0,75.0,1378.2730000000001
2684,889.622,120.0,8.266666666666666,7.659574468085107,2.64,15.0,75.0,1378.726
2685,890.075,114.0,8.693333333333333,8.23404255319149,2.9,15.0,75.0,1379.179
2686,890.528,110.0,8.906666666666666,8.553191489361701,3.25,15.0,75.0,1379.632
2687,890.98,106.0,9.12,8.680851063829786,3.34,15.0,75.0,1380.084
2688,891.434,99.0,9.76,8.936170212765957,3.52,15.0,75.0,1380.538
2689,891.887,95.0,9.973333333333333,9.553191489361698,3.78,15.0,75.0,1380.991
2690,892.3389999999999,93.0,10.186666666666667,9.531914893617019,3.87,15.0,75.0,1381.443
2691,892.7919999999999,90.0,10.4,10.02127659574468,4.22,15.0,75.0,1381.896
2692,893.245,86.0,10.613333333333333,10.148936170212766,4.13,15.0,75.0,1382.3490000000002
2693,893.698,82.0,10.826666666666668,10.574468085106382,4.66,15.0,75.0,1382.8020000000001
2694,894.15,79.0,11.04,10.744680851063832,4.66,15.0,75.0,1383.254
2695,894.6039999999999,75.0,11.466666666666667,10.808510638297873,5.01,15.0,75.0,1383.708
2696,895.056,75.0,11.466666666666667,11.170212765957446,5.01,16.0,90.0,1384.16
2697,895.5089999999999,75.0,11.466666666666667,11.042553191489361,5.01,16.0,90.0,1384.6129999999998
2698,895.961,75.0,11.466666666666667,11.297872340425535,5.19,16.0,90.0,1385.065
2699,896.414,75.0,11.466666666666667,11.382978723404255,5.27,16.0,90.0,1385.518
2700,896.867,76.0,11.253333333333336,11.23404255319149,5.01,16.0,90.0,1385.971
2701,897.319,78.0,11.253333333333336,11.191489361702127,4.92,16.0,90.0,1386.423
2702,897.773,82.0,10.826666666666668,10.936170212765957,4.75,16.0,90.0,1386.877
2703,898.2260000000001,86.0,10.613333333333333,10.51063829787234,4.48,16.0,90.0,1387.3300000000002
2704,898.678,87.0,10.613333333333333,10.468085106382981,4.22,16.0,90.0,1387.7820000000002
2705,899.1310000000001,88.0,10.4,10.446808510638302,4.04,16.0,90.0,1388.2350000000001
2706,899.584,88.0,10.4,10.468085106382981,4.13,16.0,90.0,1388.688
2707,900.0369999999999,89.0,10.4,10.404255319148936,4.13,16.0,90.0,1389.141
2708,900.4889999999999,90.0,10.4,10.51063829787234,4.13,17.0,60.0,1389.5929999999998
2709,900.943,90.0,10.4,10.446808510638302,4.13,17.0,60.0,1390.047
2710,901.395,90.0,10.4,10.51063829787234,4.22,17.0,60.0,1390.499
2711,901.8480000000001,90.0,10.4,10.425531914893618,4.22,17.0,60.0,1390.9520000000002
2712,902.3,90.0,10.4,10.468085106382981,4.22,17.0,60.0,1391.404
2713,902.7539999999999,90.0,10.4,10.446808510638302,4.22,17.0,60.0,1391.858
2714,903.206,87.0,10.613333333333333,10.51063829787234,4.13,17.0,60.0,1392.31
2715,903.659,87.0,10.613333333333333,10.446808510638302,4.13,17.0,60.0,1392.763
2716,904.112,84.0,10.826666666666668,10.340425531914894,4.13,17.0,60.0,1393.216
2717,904.565,77.0,11.253333333333336,10.893617021276595,4.66,17.0,60.0,1393.669
2718,905.0169999999999,75.0,11.466666666666667,10.76595744680851,4.75,17.0,60.0,1394.121
2719,905.47,71.0,11.68,11.297872340425535,5.1,17.0,60.0,1394.574
2720,905.923,65.0,12.106666666666667,11.553191489361698,5.45,17.0,60.0,1395.027
2721,906.3760000000001,62.0,12.32,11.787234042553193,5.8,17.0,60.0,1395.48
2722,906.828,59.0,12.533333333333333,11.978723404255321,5.8,17.0,60.0,1395.932
2723,907.2819999999999,59.0,12.533333333333333,12.297872340425535,6.06,18.0,105.0,1396.386
2724,907.7339999999999,59.0,12.533333333333333,12.340425531914892,5.98,18.0,105.0,1396.838
