time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
34287,0.00,0.00,0.00,0,6
34317,0.00,0.00,0.00,0,6,0
34347,0.00,0.00,0.00,0,6
34377,0.00,0.00,0.00,0,6,0
34406,0.00,0.00,0.00,0,6
34436,0.00,0.00,0.00,0,6,0
34466,0.00,0.00,0.00,0,6
34496,0.00,0.00,0.00,0,6
34525,0.00,0.00,0.00,0,6
34555,0.00,0.00,0.00,0,6
34585,0.00,0.00,0.00,0,5
34614,0.00,0.00,0.00,0,5
34644,0.00,0.00,0.00,0,5
34674,0.00,0.00,0.00,0,5
34704,0.00,0.00,0.00,0,6
34733,0.00,0.00,0.00,0,6
34763,0.00,0.00,0.00,0,6
34793,0.00,0.00,0.00,0,6
34823,0.00,0.00,0.00,0,6
34852,0.00,0.00,0.00,0,6
34882,0.00,0.00,0.00,0,6,0
34912,0.00,0.00,0.00,0,5
34941,0.00,0.00,0.00,0,6,0
34971,0.00,0.00,0.00,0,6
35001,0.00,0.00,0.00,0,6,0
35031,0.00,0.00,0.00,0,6
35060,0.00,0.00,0.00,0,6,0
35090,0.00,0.00,0.00,0,6
35120,0.00,0.00,0.00,0,6
35149,0.00,0.00,0.00,0,6
35179,0.00,0.00,0.00,0,6
35209,0.00,0.00,0.00,0,5
35239,0.00,0.00,0.00,0,6
35268,0.00,0.00,0.00,0,6
35298,0.00,0.00,0.00,0,6
35328,0.00,0.00,0.00,0,6
35357,0.00,0.00,0.00,0,6
35387,0.00,0.00,0.00,0,6
35417,0.00,0.00,0.00,0,5
35447,0.00,0.00,0.00,0,6
35476,0.00,0.00,0.00,0,6
35506,0.00,0.00,0.00,0,5,0
35536,0.00,0.00,0.00,0,6
35566,0.00,0.00,0.00,0,6,0
35595,0.00,0.00,0.00,0,6
35625,0.00,0.00,0.00,0,5,0
35655,0.00,0.00,0.00,0,6
35685,0.00,0.00,0.00,0,5,0
35714,0.00,0.00,0.00,0,6
35744,0.00,0.00,0.00,0,6
35774,0.00,0.00,0.00,0,6
35803,0.00,0.00,0.00,0,6
35833,0.00,0.00,0.00,0,6
35863,0.00,0.00,0.00,0,6
35893,0.00,0.00,0.00,0,6
35922,0.00,0.00,0.00,0,6
35952,0.00,0.00,0.00,0,6
35982,0.00,0.00,0.00,0,5
36011,0.00,0.00,0.00,0,5
36041,0.00,0.00,0.00,0,6
36071,0.00,0.00,0.00,0,5
