time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter

ERROR208,-0.09

,0




211,0.09




212,-0.18




ERROR213,-0.35

,0



215,-0.18




216,-0.18




ERROR217,-0.18

,0



219,-0.26




220,-0.26


,0



223,-0.18




224,0.00




225,-0.35




ERROR226,-0.26
,0




228,-0.35




229,0.09




ERROR230,-0.18

,0



232,-0.18




233,-0.18




ERROR234,-0.18


,0



236,-0.09




237,-0.18


,0


240,-0.26




241,-0.35




242,-0.18




ERROR243,-0.18
,0




245,-0.18




246,-0.18




ERROR247,0.09

,0




249,0.00




250,-0.09




ERROR251,0.09




ERROR252,0.00
,0




254,-0.09




255,-0.09




ERROR256,-0.18

,0



258,-0.18




259,-0.18




ERROR260,-0.35


,0



262,-0.26




263,-0.26


,0



266,-0.26




267,0.00




268,-0.09




ERROR269,-0.18
,0




271,-0.18




272,-0.09




ERROR273,-0.18

,0




275,-0.18




276,-0.26




ERROR277,-0.26

,0



279,-0.09




280,-0.18




ERROR281,-0.44

,0



283,-0.53




284,-0.26




ERROR285,-0.26


,0



287,-0.26




288,0.00




289,0.09




ERROR290,-0.18

,0




292,-0.18




293,-0.18




ERROR294,-0.09

,0



296,-0.18




297,-0.26




ERROR298,-0.26

,0



300,-0.18




301,0.00


,0





ROR304,0.09





ROR305,0.09





ROR306,0.26


,0





ROR309,0.00





ROR310,-0.09





ROR311,-0.18


,0




ROR313,-0.18





ROR314,0.09





ROR315,-0.18


,0





ROR318,-0.44





ROR319,-0.26



,0





ROR322,-0.26





ROR323,-0.26





ROR324,-0.26

,0




ROR326,-0.18





ROR327,0.00





ROR328,0.09



,0





ROR331,-0.18





ROR332,0.09





ROR333,0.09


,0





ROR336,-0.09





ROR337,0.09





ROR338,0.09


,0





ROR341,-0.18





ROR342,-0.18





ROR343,-0.18

,0





ROR345,-0.18





ROR346,-0.18





ROR347,-0.18

,0





ROR350,-0.18





ROR351,-0.18



,0




ROR354,-0.09





ROR355,-0.09





ROR356,-0.18


,0




ROR358,-0.09





ROR359,0.09





ROR360,0.00





ROR361,-0.09

,0




ROR363,0.09





ROR364,0.09





ROR365,-0.18


,0





ROR368,-0.09





ROR369,0.09





ROR370,-0.18


,0



ROR372,-0.18





ROR373,-0.09





ROR374,-0.18


,0





ROR377,0.09





ROR378,0.09





ROR379,0.09


,0




ROR382,0.09





ROR383,0.09





ROR384,0.09





ROR385,-0.26

,0




ROR387,-0.09





ROR388,0.09





ROR389,0.00



,0





ROR393,0.00





ROR394,-0.09



,0




ROR397,0.09





ROR398,0.09





ROR399,-0.18


,0





ROR402,0.09





ROR403,0.09





ROR404,-0.18


,0



ROR406,-0.18





ROR407,-0.09





ROR408,-0.26


,0





ROR411,-0.26





ROR412,-0.26



,0





ROR415,-0.18





ROR416,-0.09





ROR417,-0.18

,0





ROR419,0.00





ROR420,0.00





ROR421,-0.09


,0





ROR424,0.09





ROR425,-0.18





ROR426,-0.18


,0




ROR428,-0.18





ROR429,0.09





ROR430,0.09



,0




ROR433,0.09





ROR434,0.09





ROR435,0.26





ROR436,0.18


,0





ROR439,0.18





ROR440,0.18





ROR441,0.18


,0




ROR444,0.18





ROR445,0.18





ROR446,-0.18


,0





ROR449,0.18





ROR450,0.18





ROR451,0.18



,0




ROR454,0.09





ROR455,-0.09





ROR456,0.09



,0





ROR459,0.00





