t1,t2,command,measured
27749483,27749484,54,953
27756943,27756944,54,951
27764405,27764406,54,951
27771870,27771870,54,950
27779329,27779330,54,950
27786795,27786796,54,949
27794255,27794255,54,951
27801717,27801718,54,950
27809181,27809181,54,950
27816643,27816644,54,951
27824105,27824106,54,952
27831569,27831570,54,950
27839029,27839029,54,950
27846495,27846496,54,950
27853955,27853956,54,950
27861416,27861416,54,951
27868881,27868882,54,951
27876342,27876343,54,950
27883806,27883807,54,952
27891269,27891270,54,947
27898730,27898731,54,951
27906195,27906196,54,949
27913656,27913657,54,951
27921117,27921117,54,949
27928583,27928583,54,951
27936043,27936044,54,951
27943507,27943507,54,951
27950969,27950970,54,951
27958429,27958430,54,950
27965895,27965896,54,950
27973355,27973355,54,952
27980818,27980819,54,950
27988282,27988282,54,951
27995744,27995745,54,951
28003204,28003204,54,952
28010670,28010670,54,951
28018129,28018130,54,949
28025595,28025596,54,949
28033055,28033056,54,951
28040517,28040518,54,951
28047981,28047982,54,951
28055442,28055442,54,951
28062903,28062903,54,951
28070367,28070368,54,951
28077828,28077829,54,950
28085294,28085294,54,950
28092755,28092755,54,952
28100216,28100217,54,952
28107681,28107681,54,951
28115142,28115142,54,951
28122603,28122603,54,950
28130067,28130068,54,952
28137528,28137529,54,953
28144993,28144994,54,953
28152451,28152452,54,949
28159914,28159915,54,949
28167379,28167379,54,951
28174841,28174841,54,950
28182301,28182301,54,951
28189767,28189768,54,951
28197227,28197227,54,950
28204693,28204694,54,951
28212153,28212153,54,949
28219616,28219616,54,951
28227079,28227080,54,951
28234541,28234541,54,953
28242002,28242002,54,949
28249465,28249466,54,950
28256928,28256928,54,951
28264389,28264390,54,951
28271854,28271854,54,951
28279314,28279316,55,952
28286782,28286782,55,951
28294241,28294242,55,952
28301703,28301704,55,951
28309167,28309168,55,950
28316630,28316630,55,952
28324091,28324092,55,952
28331555,28331556,55,952
28339015,28339015,55,952
28346481,28346482,55,950
28353940,28353940,55,951
28361401,28361402,55,950
28368866,28368867,55,952
28376327,28376328,55,951
28383790,28383791,55,951
28391253,28391253,55,951
28398715,28398715,55,949
28406181,28406181,55,951
28413641,28413642,55,953
28421102,28421103,55,949
28428568,28428568,55,951
28436028,28436029,55,952
28443491,28443492,55,953
28450954,28450954,55,950
28458414,28458414,55,951
28465880,28465880,55,951
28473339,28473340,55,951
28480802,28480802,55,950
28488265,28488266,55,951
28495728,28495728,55,950
28503187,28503188,55,952
28510654,28510654,55,951
28518113,28518114,55,950
28525579,28525580,55,953
28533039,28533039,55,954
28540501,28540502,55,951
28547965,28547965,55,952
28555425,28555426,55,952
28562887,28562887,55,952
28570352,28570352,55,951
28577813,28577814,55,951
28585278,28585278,55,952
28592739,28592740,55,951
28600201,28600201,55,951
28607666,28607666,55,949
28615127,28615127,55,949
28622588,28622588,55,951
28630053,28630053,55,951
28637513,28637514,55,951
28644978,28644979,55,951
28652438,28652438,55,952
28659900,28659901,55,951
28667364,28667364,55,951
28674826,28674826,55,952
28682286,28682286,55,951
28689751,28689752,55,951
28697211,28697212,55,951
28704678,28704678,55,951
28712137,28712137,55,951
28719600,28719600,55,951
28727064,28727064,55,952
28734525,28734526,55,950
28741986,28741986,55,950
28749449,28749450,55,951
28756911,28756912,55,952
28764374,28764374,55,952
28771838,28771839,55,951
28779298,28779299,55,951
28786764,28786765,55,951
28794224,28794224,55,950
28801686,28801687,55,952
28809150,28809150,55,951
28816612,28816613,55,951
28824074,28824075,55,951
28831538,28831539,55,951
28838997,28838998,55,951
28846462,28846463,55,951
28853922,28853922,55,950
28861383,28861383,55,951
28868847,28868848,55,950
28876309,28876309,55,951
28883772,28883773,55,953
28891235,28891235,55,951
28898695,28898696,55,951
28906160,28906161,55,950
28913621,28913622,55,953
28921083,28921083,55,952
28928548,28928548,55,950
28936008,28936009,55,952
28943471,28943472,55,951
28950934,28950935,55,953
28958394,28958394,55,955
28965859,28965860,55,952
28973318,28973319,55,950
28980782,28980782,55,951
28988245,28988246,55,951
28995708,28995708,55,951
29003167,29003168,55,951
29010634,29010634,55,952
29018093,29018094,55,952
29025560,29025561,55,950
29033020,29033020,55,951
29040483,29040483,55,949
29047946,29047946,55,950
29055406,29055407,55,950
29062868,29062868,55,952
29070332,29070333,55,952
29077793,29077794,55,950
29085258,29085258,55,949
29092719,29092720,55,952
29100180,29100181,55,954
29107645,29107646,55,950
29115106,29115107,55,953
29122567,29122568,55,951
29130032,29130033,55,951
29137493,29137493,55,951
29144957,29144958,55,952
29152416,29152417,55,951
29159878,29159879,55,951
29167342,29167342,55,951
29174804,29174805,55,950
29182264,29182264,55,950
29189730,29189731,55,951
29197189,29197190,55,951
29204656,29204656,55,951
29212116,29212116,55,951
29219578,29219578,55,949
29227041,29227042,55,949
29234502,29234503,55,951
29241963,29241963,55,951
29249426,29249427,55,952
29256889,29256889,55,952
29264350,29264351,55,951
29271814,29271815,55,952
29279274,29279275,55,951
29286742,29286742,55,951
29294201,29294202,55,950
29301664,29301664,55,953
29309127,29309128,55,951
29316590,29316590,55,951
29324052,29324053,55,951
29331516,29331516,55,951
29338975,29338976,55,948
29346440,29346441,55,948
29353902,29353902,55,951
29361363,29361363,55,951
29368828,29368828,55,951
29376289,29376289,55,953
29383751,29383751,55,949
29391214,29391214,55,951
29398675,29398676,55,951
29406140,29406140,55,952
29413601,29413601,55,950
29421062,29421062,55,949
29428527,29428528,55,952
29435987,29435988,55,951
29443447,29443448,55,950
29450912,29450913,55,950
29458372,29458372,55,950
29465838,29465839,55,952
29473298,29473298,55,950
29480760,29480761,55,952
29488224,29488224,55,951
29495685,29495686,55,952
29503145,29503146,55,951
29510611,29510612,55,952
29518071,29518072,55,951
29525538,29525538,55,950
29532997,29532997,55,951
29540459,29540460,55,951
29547922,29547923,55,951
29555384,29555384,55,951
29562845,29562846,55,952
29570310,29570311,55,951
29577771,29577771,55,950
29585236,29585236,55,951
29592696,29592697,55,950
29600157,29600158,55,952
29607622,29607623,55,952
29615083,29615084,55,950
29622544,29622545,55,951
29630009,29630010,55,951
29637470,29637471,55,953
29644936,29644936,55,950
29652395,29652396,55,951
29659858,29659859,55,951
29667322,29667323,55,951
29674785,29674785,55,951
29682244,29682245,55,950
29689711,29689711,55,950
29697170,29697171,55,952
29704637,29704638,55,951
29712096,29712097,55,951
29719557,29719558,55,951
29727021,29727022,55,953
29734482,29734483,55,949
29741943,29741943,55,952
29749406,29749407,55,951
29756868,29756869,55,953
29764330,29764331,55,949
29771794,29771796,56,952
29779255,29779256,56,951
29786721,29786722,56,951
29794181,29794181,56,951
29801643,29801644,56,951
29809107,29809107,56,950
29816569,29816570,56,951
29824031,29824032,56,951
29831495,29831496,56,951
29838955,29838955,56,951
29846419,29846420,56,951
29853880,29853881,56,951
29861342,29861342,56,952
29868807,29868807,56,951
29876268,29876268,56,949
29883731,29883731,56,949
29891193,29891194,56,949
29898654,29898655,56,948
29906119,29906120,56,947
29913580,29913581,56,945
29921041,29921042,56,942
29928507,29928507,56,941
29935967,29935968,56,939
29943427,29943427,56,935
29950893,29950894,56,935
29958352,29958353,56,932
