time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
27223,0.00,0.00,0.00,0,3
27253,0.00,0.00,0.00,0,5
27282,0.00,0.00,0.00,0,5
27312,0.00,0.00,0.00,0,5
27342,0.00,0.00,0.00,0,5
27372,0.00,0.00,0.00,0,5
27401,0.00,0.00,0.00,0,5
27431,0.00,0.00,0.00,0,5,0
27461,0.00,0.00,0.00,0,5
27490,0.00,0.00,0.00,0,5,0
27520,0.00,0.00,0.00,0,5
27550,0.00,0.00,0.00,0,5,0
27580,0.00,0.00,0.00,0,5
27609,0.00,0.00,0.00,0,5,0
27639,0.00,0.00,0.00,0,3
27669,0.00,0.00,0.00,0,5
27699,0.00,0.00,0.00,0,5
27728,0.00,0.00,0.00,0,5
27758,0.00,0.00,0.00,0,5
27788,0.00,0.00,0.00,0,5
27817,0.00,0.00,0.00,0,3
27847,0.00,0.00,0.00,0,5
27877,0.00,0.00,0.00,0,5
27907,0.00,0.00,0.00,0,5
27936,0.00,0.00,0.00,0,5
27966,0.00,0.00,0.00,0,5
27996,0.00,0.00,0.00,0,5
28025,0.00,0.00,0.00,0,5
28055,0.00,0.00,0.00,0,5,0
28085,0.00,0.00,0.00,0,5
28115,0.00,0.00,0.00,0,5,0
28144,0.00,0.00,0.00,0,5
28174,0.00,0.00,0.00,0,5,0
28204,0.00,0.00,0.00,0,5
28234,0.00,0.00,0.00,0,5,0
28263,0.00,0.00,0.00,0,5
28293,0.00,0.00,0.00,0,5
28323,0.00,0.00,0.00,0,3
28352,0.00,0.00,0.00,0,3
28382,0.00,0.00,0.00,0,5
28412,0.00,0.00,0.00,0,5
28442,0.00,0.00,0.00,0,3
28471,0.00,0.00,0.00,0,5
28501,0.00,0.00,0.00,0,5
28531,0.00,0.00,0.00,0,5
28560,0.00,0.00,0.00,0,5
28590,0.00,0.00,0.00,0,5
28620,0.00,0.00,0.00,0,5,0
28650,0.00,0.00,0.00,0,5
28679,0.00,0.00,0.00,0,5,0
28709,0.00,0.00,0.00,0,5
28739,0.00,0.00,0.00,0,5,0
28769,0.00,0.00,0.00,0,5
28798,0.00,0.00,0.00,0,5,0
28828,0.00,0.00,0.00,0,5
28858,0.00,0.00,0.00,0,5,0
28887,0.00,0.00,0.00,0,5
28917,0.00,0.00,0.00,0,5
28947,0.00,0.00,0.00,0,5
28977,0.00,0.00,0.00,0,3
29006,0.00,0.00,0.00,0,5
29036,0.00,0.00,0.00,0,5
29066,0.00,0.00,0.00,0,3
29095,0.00,0.00,0.00,0,3
29125,0.00,0.00,0.00,0,5
29155,0.00,0.00,0.00,0,5
29185,0.00,0.00,0.00,0,5
29214,0.00,0.00,0.00,0,5
29244,0.00,0.00,0.00,0,5
29274,0.00,0.00,0.00,0,5
29304,0.00,0.00,0.00,0,5,0
29333,0.00,0.00,0.00,0,5
29363,0.00,0.00,0.00,0,5,0
29393,0.00,0.00,0.00,0,5
29422,0.00,0.00,0.00,0,5,0
29452,0.00,0.00,0.00,0,5
29482,0.00,0.00,0.00,0,5
29512,0.00,0.00,0.00,0,3
29541,0.00,0.00,0.00,0,5
29571,0.00,0.00,0.00,0,5
29601,0.00,0.00,0.00,0,5
29630,0.00,0.00,0.00,0,5
29660,0.00,0.00,0.00,0,3
29690,0.00,0.00,0.00,0,5
29720,0.00,0.00,0.00,0,5
29749,0.00,0.00,0.00,0,5
29779,0.00,0.00,0.00,0,5
29809,0.00,0.00,0.00,0,5
29839,0.00,0.00,0.00,0,5
29868,0.00,0.00,0.00,0,5,0
29898,0.00,0.00,0.00,0,5
29928,0.00,0.00,0.00,0,5,0
29957,0.00,0.00,0.00,0,3
29987,0.00,0.00,0.00,0,5,0
30017,0.00,0.00,0.00,0,5
30047,0.00,0.00,0.00,0,5,0
30076,0.00,0.00,0.00,0,5
30106,0.00,0.00,0.00,0,5
30136,0.00,0.00,0.00,0,5
30166,0.00,0.00,0.00,0,5
30195,0.00,0.00,0.00,0,5
30225,0.00,0.00,0.00,0,5
30255,0.00,0.00,0.00,0,5
30284,0.00,0.00,0.00,0,5
30314,0.00,0.00,0.00,0,3
30344,0.00,0.00,0.00,0,5
30374,0.00,0.00,0.00,0,6
30403,0.00,0.00,0.00,0,5
30433,0.00,0.00,0.00,0,5
30463,0.00,0.00,0.00,0,5
30492,0.00,0.00,0.00,0,5,0
30522,0.00,0.00,0.00,0,5
30552,0.00,0.00,0.00,0,3,0
30582,0.00,0.00,0.00,0,5
30611,0.00,0.00,0.00,0,5,0
30641,0.00,0.00,0.00,0,5
30671,0.00,0.00,0.00,0,5,0
