time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle'
68.814,40.0,17.013333333333335,17.075496688741723,0.0,0,0
69.267,40.0,17.013333333333335,17.05430463576159,0.0,0,0
69.719,40.0,17.013333333333335,17.160264900662252,0.0,0,0
70.173,40.0,17.013333333333335,17.117880794701986,0.0,0,0
70.625,40.0,17.013333333333335,17.160264900662252,0.0,0,0
71.078,40.0,17.013333333333335,17.096688741721856,0.0,0,0
71.53,40.0,17.013333333333335,17.096688741721856,0.0,0,0
71.983,40.0,17.013333333333335,17.117880794701986,0.0,0,0
72.435,40.0,17.013333333333335,17.096688741721856,0.0,0,0
72.888,40.0,17.013333333333335,17.096688741721856,0.0,0,0
73.34,40.0,17.013333333333335,17.075496688741723,0.0,0,0
73.793,40.0,17.013333333333335,17.096688741721856,0.0,0,0
74.246,40.0,17.013333333333335,17.075496688741723,0.0,0,0
74.699,40.0,17.013333333333335,17.13907284768212,0.0,0,0
75.151,40.0,17.013333333333335,17.096688741721856,0.0,0,0
75.604,40.0,17.013333333333335,17.05430463576159,0.0,0,0
76.057,40.0,17.013333333333335,17.075496688741723,0.0,0,0
76.51,40.0,17.013333333333335,17.075496688741723,0.0,0,0
76.962,40.0,17.013333333333335,17.075496688741723,0.0,0,0
77.415,40.0,17.013333333333335,17.075496688741723,0.0,0,0
77.867,40.0,17.013333333333335,17.096688741721856,0.0,0,0
78.32,40.0,17.013333333333335,17.117880794701986,0.0,0,0
78.772,40.0,17.013333333333335,17.096688741721856,0.0,0,0
79.225,40.0,17.013333333333335,17.096688741721856,0.0,0,0
79.677,40.0,17.013333333333335,17.05430463576159,0.0,0,0
80.131,40.0,17.013333333333335,17.075496688741723,0.0,0,0
80.583,40.0,17.013333333333335,17.117880794701986,0.0,0,0
81.036,40.0,17.013333333333335,17.096688741721856,0.0,0,0
81.488,40.0,17.013333333333335,17.160264900662252,0.0,0,0
81.941,40.0,17.013333333333335,17.075496688741723,0.0,0,0
82.393,40.0,17.013333333333335,17.075496688741723,0.0,0,0
82.846,40.0,17.013333333333335,17.075496688741723,0.0,0,0
83.298,40.0,17.013333333333335,17.096688741721856,0.0,0,0
83.751,40.0,17.013333333333335,17.096688741721856,0.0,0,0
84.203,40.0,17.013333333333335,17.096688741721856,0.0,0,0
84.656,40.0,17.013333333333335,17.05430463576159,0.0,0,0
85.108,40.0,17.013333333333335,17.117880794701986,0.0,0,0
85.561,40.0,17.013333333333335,17.13907284768212,0.0,0,0
86.014,40.0,17.013333333333335,17.075496688741723,0.0,0,0
86.467,40.0,17.013333333333335,17.117880794701986,0.0,0,0
86.919,40.0,17.013333333333335,17.075496688741723,0.0,0,0
87.372,40.0,17.013333333333335,17.096688741721856,0.0,0,0
87.825,40.0,17.013333333333335,17.075496688741723,0.0,0,0
88.278,40.0,17.013333333333335,17.096688741721856,0.0,0,0
88.73,40.0,17.013333333333335,17.05430463576159,0.0,0,0
89.183,40.0,17.013333333333335,17.075496688741723,0.0,0,0
89.635,40.0,17.013333333333335,17.096688741721856,0.0,0,0
90.088,40.0,17.013333333333335,17.075496688741723,0.0,0,0
90.54,40.0,17.013333333333335,17.05430463576159,0.0,0,0
90.993,40.0,17.013333333333335,17.075496688741723,0.0,0,0
91.445,40.0,17.013333333333335,17.117880794701986,0.0,0,0
91.898,40.0,17.013333333333335,17.096688741721856,0.0,0,0
92.351,40.0,17.013333333333335,17.033112582781456,0.0,0,0
92.804,40.0,17.013333333333335,17.117880794701986,0.0,0,0
93.256,40.0,17.013333333333335,17.075496688741723,0.0,0,0
93.71,40.0,17.013333333333335,17.075496688741723,0.0,0,0
94.162,40.0,17.013333333333335,17.096688741721856,0.0,0,0
94.615,40.0,17.013333333333335,17.160264900662252,0.0,0,0
95.067,40.0,17.013333333333335,17.011920529801323,0.0,0,0
95.52,40.0,17.013333333333335,17.117880794701986,0.0,0,0
95.972,40.0,17.013333333333335,17.096688741721856,0.0,0,0
96.425,40.0,17.013333333333335,17.096688741721856,0.0,0,0
96.877,40.0,17.013333333333335,17.096688741721856,0.0,0,0
97.33,40.0,17.013333333333335,17.033112582781456,0.0,0,0
97.782,40.0,17.013333333333335,17.075496688741723,0.0,0,0
98.235,40.0,17.013333333333335,17.117880794701986,0.0,0,0
98.687,40.0,17.013333333333335,17.075496688741723,0.0,0,0
99.14,40.0,17.013333333333335,17.24503311258278,0.0,0,0
99.593,40.0,17.013333333333335,17.096688741721856,0.0,0,0
100.046,40.0,17.013333333333335,17.075496688741723,0.0,0,0
100.498,40.0,17.013333333333335,17.096688741721856,0.0,0,0
100.951,40.0,17.013333333333335,17.13907284768212,0.0,0,0
101.404,40.0,17.013333333333335,17.075496688741723,0.0,0,0
101.857,40.0,17.013333333333335,17.05430463576159,0.0,0,0
102.309,40.0,17.013333333333335,17.096688741721856,0.0,0,0
102.762,40.0,17.013333333333335,17.096688741721856,0.0,0,0
103.214,40.0,17.013333333333335,17.05430463576159,0.0,0,0
103.667,40.0,17.013333333333335,17.13907284768212,0.0,0,0
104.119,40.0,17.013333333333335,17.117880794701986,0.0,0,0
104.572,40.0,17.013333333333335,17.075496688741723,0.0,0,0
105.024,40.0,17.013333333333335,17.096688741721856,0.0,0,0
105.477,40.0,17.013333333333335,17.117880794701986,0.0,0,0
105.93,40.0,17.013333333333335,17.096688741721856,0.0,0,0
106.382,40.0,17.013333333333335,17.117880794701986,0.0,0,0
