t1,t2,command,measured,zero
58064577,58064577,53,255,0
58070724,58070724,53,255,0
58076867,58076867,53,255,0
58083009,58083009,53,255,0
58089153,58089153,53,255,0
58095960,58095961,53,255,0
58102102,58102103,53,255,0
58108245,58108246,53,253,0
58114598,58114599,53,253,0
58120761,58120762,53,253,0
58126903,58126904,53,254,0
58133045,58133046,53,254,0
58139184,58139185,53,255,0
58146379,58146380,53,255,0
58152522,58152523,53,255,0
58158660,58158660,53,253,0
58164799,58164799,53,253,0
58170945,58170945,53,253,0
58177772,58177772,53,252,0
58183912,58183913,53,252,0
58190056,58190056,53,252,0
58196458,58196459,53,252,0
58202598,58202599,53,252,0
58208738,58208738,53,254,0
58214880,58214881,53,254,0
58221022,58221022,53,253,0
58228192,58228193,53,253,0
58234331,58234332,53,253,0
58240470,58240470,53,254,0
58246610,58246610,53,254,0
58252754,58252754,53,254,0
58259570,58259570,53,253,0
58265712,58265713,53,253,0
58271853,58271854,53,254,0
58278289,58278290,53,254,0
58284432,58284433,53,254,0
58290575,58290576,53,255,0
58296715,58296716,53,255,0
58302857,58302858,53,253,0
58310068,58310068,53,253,0
58316209,58316210,53,253,0
58322352,58322353,53,252,0
58328496,58328497,53,252,0
58334637,58334638,53,252,0
58341577,58341578,53,254,0
58347721,58347722,53,254,0
58353859,58353859,53,255,0
58360232,58360232,53,255,0
58366374,58366375,53,255,0
58372514,58372515,53,253,0
58378650,58378650,53,253,0
58384789,58384790,53,252,0
58391955,58391955,53,252,0
58398094,58398095,53,252,0
58404232,58404233,53,252,0
58410379,58410379,53,252,0
58416520,58416520,53,252,0
58423490,58423491,53,254,0
58429630,58429630,53,254,0
58435769,58435770,53,253,0
58442129,58442129,53,253,0
58448271,58448272,53,253,0
58454416,58454417,53,254,0
58460557,58460557,53,254,0
58466699,58466699,53,255,0
58473857,58473858,53,255,0
58480000,58480001,53,255,0
58486141,58486142,53,253,0
58492283,58492283,53,253,0
58498424,58498425,53,253,0
58505359,58505360,53,254,0
58511501,58511502,53,254,0
58517641,58517642,53,253,0
58524066,58524066,53,253,0
58530211,58530212,53,253,0
58536351,58536352,53,254,0
58542492,58542492,53,254,0
58548631,58548632,53,255,0
58555948,58555948,53,255,0
58562088,58562088,53,255,0
58568228,58568229,53,255,0
58574369,58574369,53,255,0
58580507,58580507,53,255,0
58587481,58587482,53,255,0
58593618,58593619,53,255,0
58599759,58599759,53,256,0
58606141,58606142,53,256,0
58612283,58612284,53,256,0
58618424,58618424,53,256,0
58624562,58624562,53,256,0
58630707,58630708,53,256,0
58638008,58638008,53,256,0
58644147,58644148,53,256,0
58650292,58650292,53,256,0
58656435,58656435,53,256,0
58662573,58662574,53,256,0
58669540,58669540,53,256,0
58675680,58675681,53,256,0
58681822,58681822,53,256,0
58688214,58688214,53,256,0
58694358,58694358,53,256,0
58700500,58700501,53,252,0
58706637,58706638,53,252,0
58712780,58712780,53,254,0
58720098,58720099,53,254,0
58726239,58726240,53,254,0
58732379,58732380,53,255,0
58738520,58738521,53,255,0
58744661,58744662,53,255,0
58751575,58751575,53,255,0
58757716,58757716,53,255,0
58763853,58763854,53,255,0
58770157,58770157,53,255,0
58776299,58776300,53,255,0
58782439,58782440,53,256,0
58788578,58788579,53,256,0
58794720,58794720,53,256,0
58801872,58801873,53,256,0
58808013,58808013,53,256,0
58814152,58814152,53,256,0
58820292,58820293,53,256,0
58826432,58826433,53,256,0
58833376,58833376,53,256,0
58839516,58839516,53,256,0
58845655,58845655,53,256,0
58851971,58851971,53,256,0
58858112,58858113,53,256,0
58864256,58864257,53,256,0
58870407,58870408,53,256,0
58876551,58876552,53,256,0
58883852,58883852,53,256,0
58889997,58889998,53,256,0
58896137,58896138,53,256,0
58902280,58902281,53,256,0
58908420,58908421,53,256,0
58915392,58915392,53,256,0
58921533,58921534,53,256,0
58927672,58927673,53,256,0
58933953,58933953,53,256,0
58940092,58940093,53,256,0
58946235,58946235,53,256,0
58952379,58952379,53,256,0
58958514,58958515,53,257,0
58965813,58965814,53,257,0
58971956,58971956,53,257,0
58978098,58978098,53,256,0
58984237,58984238,53,256,0
58990383,58990383,53,256,0
58997240,58997241,53,256,0
59003381,59003382,53,256,0
59009527,59009527,53,256,0
59015826,59015826,53,256,0
59021965,59021966,53,256,0
59028104,59028105,53,256,0
59034242,59034243,53,256,0
59040384,59040384,53,256,0
59047620,59047620,53,256,0
59053759,59053759,53,256,0
59059899,59059900,53,257,0
59066039,59066040,53,257,0
59072181,59072182,53,257,0
59079123,59079124,53,256,0
59085265,59085266,53,256,0
59091408,59091409,53,256,0
59097808,59097809,53,256,0
59103945,59103945,53,256,0
59110086,59110087,53,257,0
59116228,59116228,53,257,0
59122368,59122369,53,256,0
59129677,59129677,53,256,0
59135820,59135820,53,256,0
59141960,59141961,53,256,0
59148101,59148102,53,256,0
59154239,59154240,53,256,0
59161117,59161119,54,256,0
59167257,59167257,54,256,0
59173396,59173396,54,256,0
59179826,59179826,54,256,0
59185964,59185964,54,256,0
59192102,59192103,54,256,0
59198239,59198240,54,256,0
59204380,59204380,54,256,0
59211529,59211530,54,256,0
59217666,59217667,54,256,0
59223807,59223808,54,256,0
59229950,59229951,54,256,0
59236092,59236092,54,256,0
59242899,59242900,54,256,0
59249041,59249042,54,256,0
59255180,59255181,54,256,0
59261512,59261513,54,256,0
59267653,59267653,54,256,0
59273790,59273791,54,257,0
59279929,59279929,54,257,0
59286068,59286069,54,256,0
59293229,59293229,54,256,0
59299370,59299371,54,256,0
59305510,59305511,54,257,0
59311650,59311651,54,257,0
59317790,59317791,54,257,0
59324713,59324714,54,256,0
59330855,59330856,54,256,0
59336993,59336994,54,254,0
59343390,59343390,54,254,0
59349531,59349531,54,254,0
59355669,59355670,54,255,0
59361807,59361808,54,255,0
59367945,59367946,54,255,0
59375246,59375247,54,255,0
59381383,59381384,54,255,0
59387519,59387520,54,253,0
59393656,59393656,54,253,0
59399796,59399797,54,253,0
59406713,59406714,54,254,0
59412851,59412851,54,254,0
59418990,59418990,54,255,0
59425410,59425410,54,255,0
59431549,59431550,54,255,0
59437689,59437689,54,253,0
59443825,59443826,54,253,0
59449965,59449966,54,255,0
59457224,59457225,54,255,0
59463363,59463364,54,255,0
59469508,59469509,54,255,0
59475647,59475648,54,255,0
59481787,59481787,54,255,0
59488722,59488723,54,255,0
59494865,59494866,54,255,0
59501006,59501007,54,255,0
59507357,59507358,54,255,0
59513501,59513501,54,255,0
59519643,59519643,54,255,0
59525786,59525786,54,255,0
59531929,59531930,54,255,0
59539029,59539029,54,255,0
59545168,59545169,54,255,0
59551307,59551307,54,255,0
59557450,59557451,54,255,0
59563585,59563585,54,255,0
59570723,59570723,54,255,0
59576861,59576862,54,255,0
59582998,59582999,54,253,0
59589138,59589138,54,253,0
59595280,59595281,54,253,0
59602214,59602214,54,254,0
59608353,59608354,54,254,0
59614492,59614493,54,255,0
59620879,59620880,54,255,0
59627021,59627021,54,255,0
59633159,59633159,54,255,0
59639297,59639297,54,255,0
59645437,59645438,54,253,0
59652748,59652748,54,253,0
59658886,59658887,54,253,0
59665028,59665028,54,254,0
59671171,59671172,54,254,0
59677311,59677311,54,254,0
59684229,59684230,54,255,0
59690372,59690373,54,255,0
59696511,59696512,54,253,0
59702865,59702865,54,253,0
59709007,59709008,54,253,0
59715146,59715146,54,252,0
59721288,59721289,54,252,0
59727428,59727429,54,252,0
59734748,59734749,54,252,0
59740889,59740889,54,252,0
59747031,59747032,54,254,0
59753169,59753169,54,254,0
59759306,59759306,54,254,0
59766107,59766108,54,255,0
59772246,59772246,54,255,0
59778384,59778385,54,255,0
59784731,59784731,54,255,0
59790873,59790874,54,255,0
59797014,59797014,54,255,0
59803153,59803153,54,255,0
59809294,59809295,54,256,0
59816525,59816526,54,256,0
59822662,59822663,54,256,0
59828807,59828808,54,254,0
59834948,59834948,54,254,0
59841085,59841086,54,254,0
59847895,59847895,54,255,0
59854037,59854037,54,255,0
59860178,59860178,54,255,0
59866572,59866573,54,255,0
59872716,59872716,54,255,0
59878855,59878855,54,255,0
59884996,59884996,54,255,0
59891140,59891140,54,255,0
59898401,59898402,54,255,0
59904541,59904542,54,255,0
59910684,59910685,54,255,0
59916826,59916827,54,255,0
59922969,59922970,54,255,0
59929914,59929915,54,256,0
59936058,59936058,54,256,0
59942199,59942200,54,257,0
59948581,59948582,54,257,0
59954723,59954724,54,257,0
59960864,59960865,54,257,0
59967005,59967005,54,257,0
59973148,59973149,54,257,0
59980448,59980449,54,257,0
59986585,59986586,54,257,0
59992726,59992726,54,257,0
59998863,59998863,54,257,0
60005004,60005004,54,257,0
60011949,60011949,54,257,0
60018089,60018090,54,257,0
60024229,60024230,54,257,0
60030658,60030659,54,257,0
60036798,60036799,54,257,0
60042941,60042941,54,257,0
60049082,60049082,54,257,0
60055224,60055224,54,256,0
60062408,60062409,54,256,0
60068548,60068549,54,256,0
60074688,60074689,54,256,0
60080828,60080829,54,256,0
60086970,60086971,54,256,0
60093903,60093904,54,256,0
