,time,flex sensor,"actuator position, command","actuator position, measured",OldForce,Trial Number,Target Angle,force
1801,954.1189999999999,180.0,4.0,4.042440318302388,-22.85,21.0,175.0,-0.4378906250000014
1802,954.571,180.0,4.0,4.084880636604774,-22.76,21.0,175.0,-0.34789062500000156
1803,955.0239999999999,180.0,4.0,4.1061007957559665,-22.76,21.0,175.0,-0.34789062500000156
1804,955.4760000000001,180.0,4.0,4.021220159151193,-22.85,21.0,175.0,-0.4378906250000014
1805,955.928,180.0,4.0,4.0,-22.76,21.0,175.0,-0.34789062500000156
1806,956.3810000000001,180.0,4.0,4.021220159151193,-22.76,21.0,175.0,-0.34789062500000156
1807,956.8330000000001,179.0,4.0,3.978779840848805,-22.68,21.0,175.0,-0.2678906249999997
1808,957.285,179.0,4.0,4.021220159151193,-22.68,21.0,175.0,-0.2678906249999997
1809,957.737,175.0,4.426666666666667,4.1061007957559665,-22.94,21.0,175.0,-0.5278906250000013
1810,958.189,172.0,4.426666666666667,4.509283819628648,-22.68,21.0,175.0,-0.2678906249999997
1811,958.6419999999999,168.0,4.8533333333333335,4.46684350132626,-22.68,21.0,175.0,-0.2678906249999997
1812,959.0939999999999,167.0,4.8533333333333335,4.7851458885941645,-22.59,21.0,175.0,-0.17789062499999986
1813,959.546,164.0,5.066666666666666,4.9973474801061,-22.5,21.0,175.0,-0.087890625
1814,959.9989999999999,160.0,5.28,5.124668435013263,-22.32,21.0,175.0,0.09210937499999972
1815,960.451,156.0,5.493333333333332,5.315649867374006,-22.24,21.0,175.0,0.17210937500000156
1816,960.903,152.0,5.92,5.612732095490717,-22.15,21.0,175.0,0.2621093750000014
1817,961.355,152.0,5.92,5.69761273209549,-21.97,22.0,85.0,0.44210937500000114
1818,961.808,152.0,5.92,5.803713527851459,-21.88,22.0,85.0,0.532109375000001
1819,962.26,152.0,5.92,5.7612732095490715,-21.97,22.0,85.0,0.44210937500000114
1820,962.712,152.0,5.92,5.824933687002653,-21.88,22.0,85.0,0.532109375000001
1821,963.165,152.0,5.92,5.7612732095490715,-21.97,22.0,85.0,0.44210937500000114
1822,963.617,152.0,5.92,5.8461538461538485,-22.06,22.0,85.0,0.3521093750000013
1823,964.069,152.0,5.92,5.86737400530504,-21.88,22.0,85.0,0.532109375000001
1824,964.5219999999999,152.0,5.92,5.8461538461538485,-22.06,22.0,85.0,0.3521093750000013
1825,964.9739999999999,152.0,5.92,5.8461538461538485,-22.06,22.0,85.0,0.3521093750000013
1826,965.426,152.0,5.92,5.824933687002653,-21.97,22.0,85.0,0.44210937500000114
1827,965.8789999999999,152.0,5.92,5.803713527851459,-22.06,22.0,85.0,0.3521093750000013
1828,966.331,152.0,5.92,5.7188328912466835,-21.88,22.0,85.0,0.532109375000001
1829,966.783,152.0,5.92,5.824933687002653,-21.88,22.0,85.0,0.532109375000001
1830,967.2360000000001,152.0,5.92,5.86737400530504,-21.97,22.0,85.0,0.44210937500000114
1831,967.688,152.0,5.92,5.86737400530504,-22.06,22.0,85.0,0.3521093750000013
1832,968.14,152.0,5.92,5.824933687002653,-22.06,22.0,85.0,0.3521093750000013
1833,968.5930000000001,152.0,5.92,5.824933687002653,-22.15,22.0,85.0,0.2621093750000014
1834,969.045,152.0,5.92,5.824933687002653,-22.15,22.0,85.0,0.2621093750000014
1835,969.497,152.0,5.92,5.8461538461538485,-22.15,22.0,85.0,0.2621093750000014
1836,969.95,152.0,5.92,5.7824933687002655,-22.06,22.0,85.0,0.3521093750000013
1837,970.403,152.0,5.92,5.7824933687002655,-21.97,22.0,85.0,0.44210937500000114
1838,970.855,152.0,5.92,5.8461538461538485,-22.06,23.0,70.0,0.3521093750000013
1839,971.307,152.0,5.92,5.86737400530504,-22.06,23.0,70.0,0.3521093750000013
1840,971.76,152.0,5.92,5.803713527851459,-22.06,23.0,70.0,0.3521093750000013
1841,972.212,152.0,5.92,5.7824933687002655,-22.06,23.0,70.0,0.3521093750000013
1842,972.665,152.0,5.92,5.86737400530504,-22.06,23.0,70.0,0.3521093750000013
1843,973.117,152.0,5.92,5.824933687002653,-22.15,23.0,70.0,0.2621093750000014
1844,973.569,152.0,5.92,5.7188328912466835,-22.24,23.0,70.0,0.17210937500000156
1845,974.0219999999999,152.0,5.92,5.7400530503978775,-22.32,23.0,70.0,0.09210937499999972
1846,974.4739999999999,152.0,5.92,5.824933687002653,-22.15,23.0,70.0,0.2621093750000014
1847,974.926,152.0,5.92,5.888594164456233,-22.32,23.0,70.0,0.09210937499999972
1848,975.3789999999999,152.0,5.92,5.8461538461538485,-22.15,23.0,70.0,0.2621093750000014
1849,975.831,152.0,5.92,5.888594164456233,-22.15,23.0,70.0,0.2621093750000014
1850,976.284,152.0,5.92,5.803713527851459,-22.06,23.0,70.0,0.3521093750000013
1851,976.7360000000001,152.0,5.92,5.803713527851459,-22.06,23.0,70.0,0.3521093750000013
1852,977.189,152.0,5.92,5.86737400530504,-22.24,23.0,70.0,0.17210937500000156
1853,977.6410000000001,152.0,5.92,5.7612732095490715,-22.15,23.0,70.0,0.2621093750000014
1854,978.0930000000001,152.0,5.92,5.803713527851459,-22.15,23.0,70.0,0.2621093750000014
